,lyric,youtube,melon,bugs,genie,total
미세먼지,0,2,0,0,2,4.0
사,0,0,0,1,0,1.0
헐다,0,0,0,0,3,3.0
줄어들다,0,0,0,0,1,1.0
차지,0,1,0,0,0,1.0
신기하다,0,0,0,2,5,7.0
사골,0,0,0,0,2,2.0
떠오르다,0,0,0,0,6,6.0
안보,0,1,0,0,1,2.0
단골,0,0,0,0,1,1.0
스물,0,0,0,0,18,18.0
자다,0,0,0,1,13,14.0
재생,0,0,0,0,6,6.0
시절,0,1,0,0,2,3.0
땡기다,0,0,0,1,1,2.0
감미롭다,0,0,0,0,1,1.0
부터,0,0,0,0,2,2.0
색감,0,0,0,0,1,1.0
갈리다,0,0,0,0,1,1.0
오기,0,1,0,0,0,1.0
입대,0,0,0,0,11,11.0
북일고,0,0,0,0,1,1.0
교가,0,0,0,0,1,1.0
금,0,0,0,0,1,1.0
요새,0,0,0,1,0,1.0
정말,0,2,0,0,13,15.0
철,0,0,0,1,0,1.0
타임,0,0,0,0,1,1.0
강시,0,1,0,0,1,2.0
행복하다,0,0,0,3,3,6.0
힘,0,0,0,0,3,3.0
한우,0,0,0,0,1,1.0
와웅,0,0,0,0,1,1.0
매장,0,0,0,0,1,1.0
버리다,0,3,0,0,4,7.0
따다,0,0,0,0,5,5.0
여기다,0,2,0,1,3,6.0
오태식,0,0,0,0,2,2.0
어어,0,0,0,0,2,2.0
세다,0,0,0,0,1,1.0
밑,0,0,0,0,1,1.0
만약,0,0,0,0,1,1.0
덧,0,0,0,0,1,1.0
이상형,0,0,0,0,1,1.0
배뎃,0,0,0,0,2,2.0
쇼,0,0,0,0,3,3.0
리,0,0,0,0,1,1.0
따뜻하다,0,0,0,1,10,11.0
당연하다,0,0,0,0,1,1.0
필,0,0,0,0,2,2.0
벛꽃앤딩,0,0,0,0,1,1.0
목소리,0,1,0,2,2,5.0
떡,0,0,0,1,2,3.0
이맘,0,0,0,0,1,1.0
눈물,0,1,0,0,2,3.0
질리다,0,0,0,4,16,20.0
파다,0,0,0,0,1,1.0
말,0,1,0,3,8,12.0
스무살,0,0,0,0,8,8.0
순,0,0,0,1,0,1.0
애초,0,1,0,1,0,2.0
성지순례,0,0,0,0,1,1.0
내다,0,0,0,0,6,6.0
거참,0,0,0,0,1,1.0
누군가,0,0,0,1,2,3.0
조금,0,0,0,0,2,2.0
우리나라,0,1,0,0,2,3.0
울렁이다,6,0,0,2,0,8.0
박자,0,0,0,1,0,1.0
던,0,0,0,0,1,1.0
악마,0,0,0,0,1,1.0
블루,0,0,0,0,1,1.0
이웅,0,0,0,0,1,1.0
귀엽다,0,0,0,1,0,1.0
터지다,0,0,0,0,3,3.0
날,0,4,0,0,17,21.0
매번,0,0,0,2,0,2.0
밤,3,0,0,0,3,6.0
저희,0,0,0,0,2,2.0
부평,0,0,0,0,1,1.0
핑,0,0,0,0,1,1.0
뿐,0,0,0,0,1,1.0
더하다,0,0,0,0,1,1.0
문종,0,0,0,1,0,1.0
아이,0,0,0,0,2,2.0
일만,0,0,0,0,1,1.0
정은지,0,0,0,0,1,1.0
무시,0,0,0,0,1,1.0
잡다,3,0,0,0,2,5.0
학교,0,0,0,0,4,4.0
보통,0,0,0,0,1,1.0
희다,0,0,0,0,2,2.0
금수,0,0,0,0,1,1.0
이모티콘,0,1,0,0,0,1.0
트랙,0,0,0,0,1,1.0
지구,0,2,0,1,2,5.0
설,0,0,0,0,1,1.0
계단,0,0,0,1,0,1.0
이이,0,0,0,0,1,1.0
살아나다,0,0,0,1,4,5.0
란,0,0,0,0,1,1.0
리세,0,0,0,0,1,1.0
밨을수,0,0,0,1,0,1.0
올라서다,0,0,0,0,1,1.0
차다,0,2,0,0,5,7.0
심쿵,0,0,0,0,1,1.0
한해,0,0,0,0,1,1.0
먹다,0,0,0,1,1,2.0
눈시울,0,1,0,0,0,1.0
주륵,0,0,0,0,2,2.0
아외로웥,0,0,0,0,1,1.0
돈,0,0,0,3,3,6.0
역주행,0,0,0,5,13,18.0
벚르르릉,0,0,0,0,2,2.0
선정,0,0,0,0,1,1.0
