,lyric,youtube,melon,bugs,genie,total
음반,0,1,0,0,0,1.0
안,6,8,0,0,1,15.0
넘다,0,4,1,0,1,6.0
커지다,0,0,2,0,0,2.0
뼈,0,0,1,0,0,1.0
좋아하다,0,5,2,0,0,7.0
피다,18,37,1,0,5,61.0
얼다,0,1,0,0,0,1.0
설리,0,0,0,0,2,2.0
열다,0,0,1,0,0,1.0
귀,0,1,0,0,0,1.0
전의,0,1,0,0,0,1.0
끄다,0,0,0,0,1,1.0
님,0,1,0,0,0,1.0
궁금하다,0,1,1,0,1,3.0
꽃송,0,1,0,0,0,1.0
이병헌,0,1,0,0,0,1.0
코로나,0,5,0,0,0,5.0
데리다,0,1,0,0,0,1.0
라디오,0,2,0,0,0,2.0
삐었구,0,1,0,0,0,1.0
다른,0,1,1,0,0,2.0
설레다,0,3,3,0,3,9.0
졸라,0,1,0,0,0,1.0
제,0,0,3,0,0,3.0
사주다,0,1,0,0,0,1.0
간주,0,1,0,0,0,1.0
분업,0,1,0,0,0,1.0
도혜,0,1,0,0,0,1.0
덤,0,1,0,0,0,1.0
부담스럽다,0,0,1,0,0,1.0
아들,0,1,0,0,0,1.0
노랗다,0,1,0,0,0,1.0
주다,0,1,1,0,1,3.0
피어,0,1,0,0,0,1.0
너,0,2,1,0,2,5.0
도동,0,0,3,0,0,3.0
꼬시,0,2,0,0,1,3.0
부정,0,1,0,0,0,1.0
이제야,0,1,0,0,0,1.0
줄다,0,0,1,0,0,1.0
옛날,0,1,0,0,0,1.0
모르다,0,1,1,0,1,3.0
읍니,0,0,1,0,0,1.0
향수병,0,1,0,0,0,1.0
싫다,0,2,0,0,0,2.0
숙모,0,1,0,0,0,1.0
오늘,0,2,0,0,1,3.0
되어다,0,0,1,0,0,1.0
환상,0,1,0,0,0,1.0
최고,0,2,2,0,0,4.0
건아,0,0,16,0,0,16.0
그룹,0,1,0,0,0,1.0
걸,0,0,2,0,1,3.0
어렵다,27,56,0,1,1,85.0
쎄다,0,1,0,0,0,1.0
제목,0,0,1,0,0,1.0
실버,0,1,0,0,0,1.0
젤,0,0,1,0,1,2.0
싶다,0,5,1,1,0,7.0
남매,0,1,0,0,0,1.0
완벽,0,0,1,0,0,1.0
곱다,0,0,1,0,0,1.0
겁니다,0,1,0,0,0,1.0
가슴,0,1,2,0,0,3.0
장창,0,0,0,0,1,1.0
발가락,0,1,0,0,0,1.0
감사,0,3,0,0,0,3.0
싯발,0,0,1,0,0,1.0
서툴다,0,0,2,0,0,2.0
완벽하다,0,1,0,0,0,1.0
좋아지다,0,1,0,0,0,1.0
아련하다,0,0,1,0,0,1.0
어울리다,0,1,0,0,1,2.0
환하다,0,1,0,0,0,1.0
도와주다,0,1,0,0,0,1.0
하나,0,1,2,0,0,3.0
집때,0,0,1,0,0,1.0
중,0,0,3,0,1,4.0
관계,0,0,1,0,0,1.0
중년,0,0,0,0,1,1.0
고기,0,1,0,0,0,1.0
무조,0,1,1,0,0,2.0
만나다,0,0,2,0,1,3.0
기억,0,0,2,0,0,2.0
솔,0,1,0,0,0,1.0
하나로,0,1,0,0,0,1.0
못지않다,0,1,0,0,0,1.0
끼다,0,1,0,0,0,1.0
붙이다,0,1,0,0,0,1.0
이유,0,1,0,0,0,1.0
서울,0,2,0,0,0,2.0
사람,27,81,4,0,2,114.0
시들다,0,1,0,0,0,1.0
집콕,0,1,0,0,0,1.0
앞,0,0,1,0,1,2.0
배드민턴,3,7,0,0,0,10.0
절정,0,1,0,0,0,1.0
너희,0,0,1,0,0,1.0
얼른,0,0,1,0,0,1.0
담백하다,0,0,1,0,0,1.0
고,0,3,1,0,0,4.0
멜로디,0,1,2,0,0,3.0
널,0,1,3,0,0,4.0
인정,0,1,0,0,0,1.0
다시,0,3,0,0,0,3.0
느끼다,0,2,1,0,2,5.0
필요,0,0,1,0,0,1.0
강림,0,0,1,0,0,1.0
가끔,0,1,0,0,0,1.0
차,0,2,1,0,0,3.0
최적화,0,1,0,0,0,1.0
열정,0,1,0,0,0,1.0
외계인,0,1,0,0,0,1.0
제대로,0,1,0,0,0,1.0
김민석,0,0,0,0,1,1.0
조,0,0,1,0,0,1.0
포기,0,1,0,0,0,1.0
베이스,0,0,1,0,0,1.0
슬슬,0,0,0,0,1,1.0
모태솔로,0,1,0,0,1,2.0
감성,0,1,0,0,0,1.0
추가,0,0,0,0,1,1.0
스푼,0,1,0,0,0,1.0
언제,0,1,1,0,0,2.0
웅장,0,1,1,0,0,2.0
찾기,0,1,0,0,0,1.0
벗꽃,0,2,0,0,0,2.0
어떻다,0,1,3,0,2,6.0
차이,0,0,1,0,0,1.0
니,0,0,1,0,0,1.0
별빛,0,1,0,0,0,1.0
음악,0,2,0,0,1,3.0
극딜,0,1,0,0,0,1.0
최애,0,0,1,0,0,1.0
과,0,0,1,0,0,1.0
드럽다,0,2,0,0,0,2.0
중학교,0,0,2,0,0,2.0
영화,3,6,0,0,0,9.0
어색하다,0,1,0,0,0,1.0
두,0,1,0,0,0,1.0
꽃송이,39,95,0,0,8,142.0
도덕,0,1,0,0,0,1.0
꼬쏭이,0,0,0,0,2,2.0
임,0,3,1,0,0,4.0
여름,0,1,0,0,0,1.0
봄봄봄,0,1,0,0,0,1.0
불어,0,1,0,0,0,1.0
갑자기,0,1,0,0,0,1.0
병신,0,1,0,0,0,1.0
부르다,0,2,3,0,0,5.0
눈물나다,0,2,2,0,0,4.0
짱,0,1,0,0,0,1.0
사랑,0,0,7,0,2,9.0
잏,0,1,0,0,0,1.0
줌,0,1,0,0,0,1.0
찬란하다,0,0,1,0,0,1.0
절,0,1,0,0,0,1.0
얼마나,0,3,0,0,0,3.0
바로,0,1,1,0,1,3.0
중요하다,0,1,0,0,0,1.0
벛꽃,0,0,0,0,1,1.0
아픔,0,1,0,0,0,1.0
계속,0,0,1,0,0,1.0
분위기,0,1,0,0,0,1.0
장범준,0,7,2,1,2,12.0
커피,3,4,0,0,1,8.0
유감,0,1,0,0,0,1.0
로디,0,1,0,0,0,1.0
더더,0,1,0,0,0,1.0
슬픔,0,0,1,0,0,1.0
뿌잉,0,0,0,1,0,1.0
소리,0,1,2,0,0,3.0
늦다,0,1,0,0,0,1.0
넣다,0,1,0,0,0,1.0
예기,0,1,0,0,0,1.0
지고,0,2,0,0,0,2.0
굿,0,1,0,0,1,2.0
서울대학교,0,1,0,0,0,1.0
범준,0,1,0,0,0,1.0
민아,0,0,1,0,0,1.0
추다,0,1,0,0,0,1.0
영재,0,1,0,0,0,1.0
면서,0,1,0,0,0,1.0
화이팅,0,1,0,0,0,1.0
유튜브,0,1,0,0,0,1.0
립삡,0,0,0,0,1,1.0
각자,0,0,0,0,1,1.0
핵핵핵,0,1,0,0,0,1.0
이곡,0,0,2,0,0,2.0
풑,0,0,1,0,0,1.0
지금,0,4,1,0,1,6.0
썸녀,0,1,0,0,0,1.0
일요일,0,1,0,0,0,1.0
상황,0,0,1,0,0,1.0
노랫말,0,1,0,0,0,1.0
배경음악,0,1,0,0,0,1.0
신청,0,1,0,0,0,1.0
거기,0,1,0,0,0,1.0
링크,0,1,0,0,0,1.0
도입,0,0,1,0,0,1.0
여자친구,0,1,0,0,0,1.0
충격,0,0,2,0,0,2.0
떨리다,0,0,1,0,0,1.0
퇴근,0,1,0,0,0,1.0
타고,0,1,0,0,0,1.0
사라지다,0,1,0,0,0,1.0
촐싹대다,0,1,0,0,0,1.0
법,0,1,0,0,0,1.0
검색,0,0,0,0,1,1.0
하모니카,3,26,0,1,5,35.0
커플,0,1,0,0,0,1.0
기,0,0,0,0,1,1.0
마트,0,1,0,0,0,1.0
미세먼지,0,2,0,0,0,2.0
시험,0,1,0,0,0,1.0
잇다,0,0,1,0,0,1.0
유일하다,0,2,0,0,0,2.0
사,0,0,0,0,1,1.0
삐리삐,0,0,0,0,1,1.0
때문,0,2,1,0,0,3.0
띵작,0,1,0,0,0,1.0
아니얔,0,0,0,0,1,1.0
박,0,2,0,0,0,2.0
구독,0,1,0,0,0,1.0
보시,0,1,0,0,0,1.0
비상,0,1,0,0,0,1.0
거,12,23,3,0,1,39.0
리듬,0,1,0,0,0,1.0
그렇다,51,75,2,0,7,135.0
대호수,0,1,0,0,2,3.0
지옥,0,1,0,0,0,1.0
반주,0,2,1,0,0,3.0
다니다,0,0,0,1,1,2.0
떠오르다,0,1,1,0,2,4.0
새삼,0,0,0,0,1,1.0
끼리,0,1,0,0,0,1.0
보물섬,0,2,0,0,0,2.0
명곡,0,1,3,0,1,5.0
소식,0,0,1,0,0,1.0
그대로,0,0,1,0,0,1.0
감사하다,0,2,0,0,0,2.0
틀다,0,1,0,0,0,1.0
자다,0,1,6,0,1,8.0
마다,0,0,1,0,1,2.0
리얼리,0,1,0,0,0,1.0
가득,0,1,0,0,0,1.0
재생,0,0,0,0,2,2.0
