,user,comments
75,fvg***,진짜 역주행곡이 나타났네요.조금 더 음원차트가 깨끗해졌으면 좋겠습니다
76,캔디,스믈스믈 올라가고 있다 ㅋㅋㅋ
77,뿌힁,ㅋㅋㅋㅋㅋㅋㅋ 이젠 멈출 수 없어
78,석이!,93등ㅋㅋㅋㅋㅋㅋ이얔ㅋㅋㅋ이제 1등하겠지?
79,하하하하나마나,오늘 날씨에 이노래 생각나서 들으러 오신 분🙋🏻‍♀️
80,크로캅,어마어마한 노래..
81,ㅇ,"ㅋㅋㅋㅋ역시나 또 올라오네 벚꽃연금매년마다 봄되면 순위권에 올라옴,,"
82,hpopu,그냥 봄 그 자체가 되어버린 곡
83,YESJAM🍓,역시 봄에는 이 노래지 !!!나가지 못하니까 집에서 이거 듣어요 ㅠㅠㅜ
84,안혜원,올라와라 벚꽃좀비
85,asm***,올해도 올라간다 벚꽃 ZOMBI
86,duf***,올해는 창문 너머로 벚꽃 구경하면서 들어야지 어서 올라갑시다
87,챔이슬,드디어 들을때가 됐다 이 곡 듣는사람들은 아마 다 이 곡이 처음 나왔을 시절에 봄을 기억하겠지 추억회상에 이 노래만큼 좋은게 없는듯하다.
88,뮤직이즈마이라이프,"🌸봄 되니까.. 마음 한 켠이 또 싱숭생숭..아마도 2012년 봄부터 이 노래를 알게되어 듣고, 해마다 다른 해의 봄의 기억들이 오버랩되면서 날 괴롭히기도하고 설레이게한다.."
89,akd***,내가 1004번째 댓글이네 :) 제발 여자친구 생기게 해주세요!! 천사님...
90,션딩,올해 벚꽃은 코로나와 함께라니.... 🥺🥺🥺🥺🌸
91,ZdY,이 노래는 매년 들어도 설렌다 간질간질
92,강영준,"매해 4월 Cherry Blossom 기간에 불리우는 한국의 전통 민요이며26년째 12월을 책임지는머라이어캐리의 ""All I Want For Christmas Is You""와쌍벽을 이루는 곡이다Ps8월 장마기간만 되면 나오는 신흥민요""비도 오고 그래서"" 도 존재하니 참고하실것"
93,s1#,항상 이 맘때쯤 듣고 싶어지는 곡...특히 벚꽃나무 아래를 차타고 지나갈때 차 타고 들으면..더 좋은 ㅎ
94,jun***,1001번째 댓글이다!!! 코로나로 힘들지만 벚꽃엔딩으로 봄날의 따뜻함을 느껴봅니다!!!
95,wsg***,이제 봄의좀비가 올라올텐데..코로나..
96,ㅇㅁㅇ,매년 듣다보니 매년 봄의 추억들이 겹쳐 느껴져서 좋아요 ㅠㅠ
97,jun***,아직 3월초인데 벌써 생각나서 찾아옴
98,kik***,시동걸자ㅏ
99,죠,"9년동안 한결같이 봄에 찾아오는 노래 🤍들을때마다 마음 편해지고 설레는 ,기분 좋아지는 노래 ❤️🤎"
100,VIP,봄이 오는군
101,lillianseo,전 남자친구요....ㅋㅋㅋㅋㅋ
102,.,저두 남자친구요...
103,안혜원,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
104,krecent,부릉부릉
105,쵸,오늘 날씨가 너무 좋아서 틀었어요 ☺️
106,rom***,그때가 다시 돌아왔다
107,취미는사랑,형들 슬슬 시동걸어야지??
108,hch***,봄 노래지만 사계절 아무때나 들어도 산뜻한 노래
109,불끄고노래듣는사람,벚꽃 엔딩 쿨 곧 돌겠다
110,jihye,벚꽃 연금 ㄷㄷㄷ
