,user,comments
355,윤봄,희희 재생목록 장-착
356,달토끼,이번 봄에도 들으러 왔네요🌸
357,jjh***,범준이형 연금나올때가 돌아왔습니다.
358,ghs***,내가예상하는데 다음달 8일에 절정에 도달한다
359,kim***,다음주 봄이랍니다
360,oye***,또다시 벗꽃엔딩이 스물스물 기어나오는듯..ㅎ
361,앙ang123,벚꽃빌런이 등장할 차례인가..
362,jh6***,이 노래를 들으면 그냥 재밌었던 기억들이 막 생각나고 좋은것들이 막 머릿속에 회상되요 신나고 정말 좋아요 첫사랑 같은 노래입니다....
363,dlf***,스물스물 또 올라오는구나 벚꽃좀비
364,sh0***,이제 떡상합니다 지금 들어가세요
365,여늬,음악교과서에 실려할 노래
366,gml***,봄 가즈아
367,bus***,"반갑네요, 이 노래가 돌아오니 봄도 같이 찾아왔군요😆😊"
368,wjd***,봄되니깐 스멀스멀 올라오네 ㅋㅋㅋㅋㅋㅋㅋ
369,dks***,올 봄도 잘부탁해요 !!!
370,tea***,봄 시작합니다!올라오십쇼!!
371,nmh***,봄이다 이제
372,denensa,2018년 봄이 코앞이다..
373,mkh***,성지 순례왔습니다.올해 봄에는 벚꽃구경 갈수 있길둘이
374,dan***,역주행 가즈아!!!!!
375,jen.,슬슬 역주행할때가 됐군.
376,sks***,"성지왔습니다 올해는 이쁜연애하게 해주세요,"
377,믕믕이,봄이 오면 생각나는 노래왜 이러지 이만 놓아줄때가 된것같은데벚꽃이 생각날때마다 듣게된다
378,ksk***,온다 작년에도 이쯤에 차트인 가즈아ㅏㅏㅏ
379,아보카도,ㅋㅋㅋㅋㅋ날씨 좀 풀리니까 귀신같이 차트인ㄷㄷ
380,뇽짱과함께하는음악시간,지금부터들어야지
381,jae***,우리 음악교과서에 실림ㅋㅋㅋㅋㅋㅋㅋㅋ
382,kin***,이정도면 한국의 봄은 이거다라 하겠네요
383,lee***,봄이 왔을 때 뿐만 아니라 봄이 그리워질 때도 들음ㅠ
384,닉네임,잘지냈나요 ㅎㅎ 올해 봄도 잘 부탁해요♥
385,뚝따라닥닥뚝딱딱,가즈아ㅏㅏ
386,몰랑몰,가즈아!!!!!!!!
387,ㅇㅅㅇ,언제와..
388,닻별,비틀즈 급.. 아니 !..봄에는 .. 그 이상??
389,fan***,국민봄가요
390,0asis,이 노래 처음 나왔을 때가 생각나네요. 나온지 며칠 되지도 않아 입대했는데 하필 해군으로 입대하게 되어서 군항제 끝났을 즈음이었죠. 봄바람과 마지막 벚꽃을 맞으면서 들어갔는데ㅠ힘들 땐 이 노래를 생각하고 마음속으로 불러보고아 나중에 이 거지같은 곳은 여자친구생기면 다시 와서 좋은 기억으로 채워야지 생각하고ㅎㅎ 그냥 이 노래 들으면 그 때 그 기억이 살랑살랑 불어와 제 마음 한켠을 흔드네요.
391,osh***,"리뷰가 2,3,4,5월에 몰려있음 ㄷㄷ"
392,밒,한여름 조용한 새벽에 들어도 맘에 막 괜히 설레고 아련하고 그러네... 아무 추억도 없는데 ㅡㅡ
393,닉네임,내년에 봐요 고마웠어요
394,ㅇ,이정도면 벚꽃 좀비 아니냐
395,pcs***,예~yes
396,snafu,장범준 좋겠다 매년 벚꽃연금 너오고
397,joa***,봄이다!
398,yun***,걍 길가다 이노래들리면 봄온거임 썅.
399,wns***,그냥 벗꽃좀비님 어서오세요 ㅎㅎ
400,닉네임을입력,봄에 뭐듣지 하다가 결국 이거 듣게됌..이것만큼 봄을 제대로 표현한 노래가 없어누가그랬지 미래에 봄이없어지면이노래 들려주면 된다고 이게봄이라고
401,big***,592기쯤  되시겠네요 ㅋㅋㅋㅋㅋ  수병님  저는  600기입니다   ㅋㅋㅋㅋㅋㅋ
402,kkm***,누가 그랬는데
403,tna***,zmz***이 그랬는데?
404,sm1***,그들이 또다시 온다..
405,zmz***,아마 봄이 없어진다면 이 노랠 틀며이게 봄 이라고 말해도 될 정도다..
406,단지,벛꽃엔딩 또 차트 위로 올라온다
407,유동,버스커버스커 노래 중 듣는 노래 딱 두개 봄에 이거여름에 여수밤바다
408,눈,25위 실화냐
409,눈,아놔 벚꽃좀비
410,jje***,언젠가 미래 세대들 교과서에 실릴것 같앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
411,big***,13위  실화나
412,dnj***,14위실화냐
413,ㅇㅇ,빨리 위로 올라가라~~~!!
414,khj***,25위 실화냐
415,joa***,이제 슬슬~♡
416,Bootleg gir1,연금
417,6f,혐오
418,ㅈㅎ,반가워 벚꽃좀비 ! 🌸
419,kkytime,ㅋㅑ.... 그 가수에 그 팬이로세
420,일산흔남,듣지마옄ㄲㅋㅋㅋ혐오노래듣는게 취미세요?
421,송현호,졷까세요
422,으느느느우,ㅋㅋㅋ벌써 17위네
423,iee***,그켬
424,MIN,벚꽃계의 머라이어캐리
425,dae***,노래 나올 당시 이등병이라 노래 들으면서 마대질 하고 있었는데 왜 마대질이 하고싶어지냐
426,jjh***,여러분 모두 헤어지세요
427,zzwjddkzz,벚꽃 연금ㅋㅋ
428,ssk,거의 봄의 아리랑 정도됨ㄷㄷ
429,눈,벚꽃 엔딩버스커 버스커
430,,응 이제 벚꽃좀비가 슬슬 올라오는군
431,현,올라올때 됬자나
432,진구,올라오너라
433,insun,사랑하는 연인들이 많군요알 수 없는 친구들이 많아요흩날리는 벚꽃잎이 많군요 좋아요♡
434,김곰,벚꽃연금 ㅋㅋㅋ
435,내낵닌가나,꽃이피는게 당연하듯이 이 노래가 올라오는것도 당연
436,tjd***,#벚꽃스타그램 #1학년5반 #다잠 #학교째고싶음 #직장인그램 #드라이브 #봄타는중 #버스커버스커 #뛰어내리고싶다그램 #4번학습지 #외워라
437,닉네임을입력,또륵
438,이이,전지현 닮으신거같아요
439,내적댄스,아리랑ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
440,lr9***,고등학교 다닐 적 점심시간에 이 노래 들으며 운동장 트랙 거닐던 기억이 납니다. 좋아요~~~~😊
441,CakeFree,올라간다!꽉잡아!
442,mig***,사랑할 수 없는 사람조차 사랑하게 만드는 노래
443,wls***,올라와라~~~~~~~
444,가즈아ㅏㅏ,30위 지렷다 15위 안에 가자 ㅋㅋㅋㅋㅋㅋ
445,Black,오늘이 나온지 딱 5년된 날이네
446,내적댄스,ㅁㅊ 또올라왔엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ봄이라니 신난닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미세먼지때문에 봄인줄도 몰랐네
447,송현호,1등 찍어야지
448,youngforever,지금바로 벚꽃연금 가입하세요 노후걱정 뚝!
449,일산흔남,분발해야지 여기서 멈추는건 아니지
450,응듀,또올라옴ㅋㅋㅋ
451,레이크힐,명 곡 명 곡 명 곡 명 곡 명 곡
452,신비,또 올라왔냐? 정말 이거 나올때 제일 울컥했던게 군대에서 근무설때 취사장에서 이 노래가 흘러나올때 봄이 왔구나라는걸 느끼게 해줬던 노래그리고 이 노래를 들으면서 전역을 해서 기억에 남는 노래네요.
453,칼루아,매년 듣는데 매년 좋고 질리지도 않음...명곡이라고 불러도 손색없는..
454,띵동,"또 시즌이 돌아왔네요. 매년 이 노래 많이 듣는데, 들을 때마다 정말 좋습니다."
455,송현호,먼지 맛있졍
456,ura***,그가온다...장담하건데 4월초부터 꽃 피기 시작하면 모든 음원사이트 99퍼 1위찍는다...
457,동서기,안녕 벚꽃연금~ 올해도 잘 부탁해 ㅋㅋㅋㅋㅋㅋ
458,qeu***,예수가 봄에 태어났어봐.. 이게 아이 위시 어 메리크리스마스 되는거지
459,hEedONg,밤꽃엔딩도 만들어줘 범준이형~~
460,오키,이제 벗어나게 해줘 이 악마야!
461,ess***,봄에 이노래가 없으면 이제 심심하다..
462,ksk***,41위...온다 벚꽃좀비
463,stv***,벚꽃좀비..
464,iam***,길거리에서 봄에 이노래 안나오면 이상한....
465,가즈아ㅏㅏ,ㅋㅋㅋㅋㅋㅋㅋㅋ66위 실화냨ㅋㅋㅋㅋ 역시 벚꽃연금이네 이 정도면 거의 애국가 수준 ㅋㅋㅋㅋㅋㅋ 차라리 봄에 애국가 대신 이걸 부르는게 더 나을 듯ㅋㅋㅋㅋㅋ
466,윤봄,와...벌써 6년째 봄만왔다하면 올라오는구나 질릴만도한데 그래도 좋다ㅠㅠㅜㅠ10년이고100년이고 봄캐럴 탑 해드세요ㅜㅜㅜ♡
467,sun***,슬금슬금 올라오는거 보니 봄이네
468,jos***,올해도 역시 벚꽃엔딩~~~~~
469,뀨우,100년뒤에 우리 민족의 봄 민요로 교과서에 실리는거 아니냐
470,ysy***,국민연금송이 슬금슬금 올라오기 시작합니다
471,일산흔남,그건 아니에요.....제작년부터 10위도 간당간당이였는데....ㅋㅎ
472,송현호,연금이긴한데 잊혀지고있음
473,jin***,밤꽃? ㅋㅋ
474,exp***,ㅋㅋㅋㅋㅋㅋㅋ
475,KBS,벌써 교과서에는 있음 ㅋㅋㅋ음악책
476,아힛뎀🌌,어엌ㅋㅋㅋㅋㅋ 교과서ㅋㅋㅋㅋ심지어 벌써 있댘ㅋㅋㅋㅋㅋ
477,차일드,와 요즘교과서는 진짜 센세이셔널하구만
478,잘자요,슬슬 치고 올라오네
479,sgl***,좋다!!봄이왔네요😍😍
480,kms***,17년에도 죽지않고 또왔네 ㅋㅋㅋㅋㅋ
481,ina***,12년도에 나와서 전성기1년간 스트리밍 집계안됐는데 2천만이라니 대대나다
482,wsu***,와라와라 올라와라
483,ssk***,출췍!
484,탱구9,이게 5년전 노랜데 지금 57위면ㅎㄷㄷㄷ이번년 재생수 2000만 기록하겠다
485,gkw***,진짜 띵곡중에 띵곡이다
486,aaa***,이 노래가 듣고싶은걸 보니 봄이왔네
487,원인어밀리언!!,장범준 이걸로 60억 벌었다는데 저작권료만 ...연금복권보다 더좋은거다
488,dk2***,날씨가 따뜻해지면 자연스레 찾게 되는 곡👏💕
489,김자라,나도 이런 연금하나있음 좋겠당
490,1004다,여러분 잘만든노래한곡이 이렇게 무섭습니다
491,wnd***,그대여~를 흥얼거리고 있는 나를 반견했다...올해도 내가졌다 ..
492,hsu***,헐 벚꽃엔딩 타임 왔다
493,박범수,이곡은 2012년 3월 29일날 나온 노래입니다. 5년이지난 지금까지도 봄이되면 100위권 안에 머무르는거 자체가 대단하다고 봅니다.👍👍
494,임파인,어어? 또 올라온다..ㅎㄷ
495,목련,벚꽃연금 차트 진입 100위 2017.3.15 21시
496,dbf***,아니 뭔데 또 순위권이얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이제 봄이구낰ㅋㅋㅋㅋ
497,bon***,나중에 봄이없어져도 봄을 느낄수있는 노래죠..
498,바람별랑,올봄에는 이 노래 틀면...아예 매장 안들어 갈려고 ㅋ
499,묜화,거참 지겨운데..봄만 되면 듣고 있는...
500,가나다,벚꽃좀비 또 올라왔네..진짜 대단..
501,skd***,버스커버스커 벚꽃길만 걷자
502,sim***,매년 차트에 다시 올라서도 누구도 싫어하는 사람없는.. 음악교과서에 실려도 될듯한 노래인듯
503,wls***,이 노래가 차트에 다시나오는구나 봄이온다 ㅎㅎㅎ
504,ncs***,"분위기 목소리 멜로디 그냥 봄, 따뜻함, 사랑 이런 거에 최적화인듯"
505,안물,솔직히 이게 한국 봄캐롤중 탑이라는건 부정할수없는 사실임
506,대나무,구태여 구태여 구태여 제 구태여
507,바보,봄이면 이 노래가 생각나네...ㅎㅎ
508,tjf***,7년...
509,달🌙,세상에 7년전 내 생일 때 나온 노래였어..
510,rob***,저는 개인적으로 몰랐던 이후에 EP소리와 멜로디가 신선해서 설레이는것같아여 ㅎㅎ
511,임파인,이번 봄에는 집에만 계시겠네요
512,바람별랑,그럴려구요. 너무 지긋지긋~ (>.<)
513,J,음악교과서 인정ㅎㅎㅎ
514,KBS,저희 학교 음악교과서에 있어요~~
515,가즈아ㅏㅏ,역시 봄하면 이 노래다...이제 이걸 들을 때가...
516,✿,벚꽃좀비 슬슬 올라온다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
517,tjd***,올해는 안보이나 싶었는데 60위대류 쑥 올라와있넼ㅋㅋㅋㅋㅋㅋㅋ
518,pap***,온 국민이 고생했던 추운겨울이 지나고 진정한 봄이 왔다❤
519,whd***,매년 들어도 좋다 ㅎㅎ
520,gus***,개화시기가 20일 언저리쯤으로 예상되니 그때되면 걍 부활각임
521,wor***,3월9일 104위ㅋㅋ
522,kim***,같이 벚꽃길 걸을 훈남 구합니다 (0/1)
523,wor***,3월8일 123위ㅋㅋㅋ
524,목련,연금 ㅋㅋㅋ3월 7일 129위
525,sup***,봄 오기전에 벚꽃엔딩 먼저 왔다 이거에요.
526,뚱,와.. 매년 질렸다고 생각해도 봄되면 또 좋네ㅋㅋ
527,re.appear,장범준 지금 집에서 각재고있음
528,hoc***,봄도 벚꽃엔딩부터 듣고 온다는 소문이 있음
529,버즈,ㄹㅇ 봄만되면 생각나네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
530,환,다시 차트권 진입
531,닉넴모야,벚꽃연금ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
532,후이,봄의 필수 청취곡~
533,die***,좀비엔딩차트에 또 들어왔네..
534,mix***,봄이면 벚꽃엔딩이 정석이죠ㅎ
535,Rapahel,자자 이제 10위권으로 가실시간입니다
536,mkh***,차트인 ㅋㅋㅋ 달려보자
537,hjh***,자 이제 벚꽃좀비 깨어날 시간입니당 상위권 가쟈ㅋㅋㅌㅌ
538,Amaranth,"나는 아무렇지 않았는데, 그냥. 그냥. 설렜다. 마땅한 이유를 찾지못해, 그렇게 둘러대었다. 봄이 시켰다고. 그래서 두근거렸다고."
539,가즈아ㅏㅏ,봄만 되면 벚꽃 좀비가 올라오네....ㄷㄷ
540,sha***,늘 봄만되면 설레이는 노래🎈
541,t97***,매년들어도 설레는노래 갑이닼ㅋㅋㅋㅋㅋ
542,pit***,3/1 현재순위 128위니 조만간 봄이 오겠구나~
543,xha***,순위 보면 벚꽃 핀지 안핀지 아는곡~
544,soo***,진짜 어떻게 노래만으로 봄을 잘 표현할수가 잇지 진짜 봄마다 들어도 안질린다..갓..
545,말랑갱얼쥐,진짜 질리지가않는 노래다...
546,ye9***,들어도 들어도 일년만에 들어도 또 좋다
547,mkh***,좀 날 풀리니 슬슬 올라오네 ㅋㅋㅋ
548,him***,근데 노래가 좋긴 함 ㅋㅋㅋ
549,tpd***,봄만되면 귀신같이 흥얼거리는 벚꽃갓딩
550,OliveYou,아직 2월인데 오셨군요
551,siy***,아직 쌀쌀한데 벌써 106위라니.....역시 벚꽃연금
552,hij***,오랫만에 들었는데 여전히좋다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
553,pap***,멜론은 이미 차트인ㅋㅋㅋ 여기도 곧이군.. 어쩐지 날이 따뜻하다했음 ㅋㅋㅋㅋㅋ
554,dlr***,벚꽃연금
555,으느느느우,점점올라온다... 좀비가.
556,ssk***,이쿠죠!!!
557,dbs***,봄아 언제오니ㅣ이이
558,rng***,주위에 이노래가 슬슬 들리는걸보니 봄이 오긴 왔나보네
559,하늬7바람,올해도 시작합니다.
560,에픽,3월
561,메이피르,올해도 시작합니다
562,bon***,"벚꽃연금 시작 할 시간..,,"
563,뉴슷,벌써 라디오에서 벚꽃엔딩 나오기 시작함
564,kim***,만약 봄이 없어져서 손자에게 봄을 설명한다면 이 노래를 들려줄 거라던 말이 생각나는군 완전 동의한다
565,뇽짱과함께하는음악시간,둘이걸어효오~~봄빠람~휘날리며허어어언~허어어~울려퍼지는~이거리르흐으으으을~~연금오졌다리오졌다
566,jji***,올라갑시다.정말 봄만되면 생각나서 또 찾아왔음
567,난그냥심심,좀비여 어서 깊은잠에서 께어나세요
568,닉네임,자 이제 슬슬 순위권 올라올 준비 하세요.
569,댕댕댕,내가 딱 스무살되자마자 들엇던 설레는ㄴ음악 ..추억
570,car***,이노랜 교과서에 실려야해ㅐ
571,유리성,장범준~ 꺅! 음색 좋고악쓰면서 안불러서 좋고~
572,goa***,언재 들어두 좋다
573,car***,봄에는 역시~
574,fli***,봄 점점 짧아지는 게 너무 아쉽다이 노래 들을 기간이 점점 줄어들음 ㅜㅜ내년에 만나요 👋
575,khm***,내년에 다시만나요
576,KBS,몇몇 음악책에 실렸어요~~
577,siy***,슬슬 올라오네요 이제
578,kim_paul,그러게요 슬슬 올라오네요~
579,wls***,이제 슬슬 올라올때가 됐는데~
580,pap***,내년이되었습니다 ㅋㅋㅋㅋㅋ 올해도 듣겠네요ㅋㅋ
581,은서,올해에도 들을거에요
582,미련충,자 들읍시다
583,yeah_11n,ㅋㅋㅋㅋㅋㅋ 또 보네용
584,jwo***,내년에 다시만나요
585,ㅇㅅㅇ,올해도 왔습니다 ☺️
586,exp***,ㅎㅇ
587,xog***,또 보내용
588,레온,저도욬 ㅋ
589,😍,또 보내여!
590,지훈,저도 합류하겠습니당 내년에 보아용
591,정만구,올해도 와야죠 ㅎㅎ
592,lisa,2021년에 또 봐요
593,지수제니로제리사,봄바람 휘날리며 흩날리는 벚꽃 잎이 울려 퍼질 이 거리를 우우 둘이 걸어요
594,마인부우,벚꽃이폈는데ㅈㅓ는 꽃구경은커녕 공부나하면서 벛꽃앤딩을......
595,٩(◕ᗜ◕)و,역시 봄에는 이 노래가 ggㅋㅋ
596,lin***,벚꽃좀비!
597,봄봄봄봄봄이왔어요,곡 명은 벚꽃엔딩인데 이 노랜 엔딩이 없어ㅋㅋㅋ하...
598,she***,나타났따ㅋㅋㅋㅋㅋ 또 슬금슬금 올라오고있쎀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
599,우오우오,올라오는군하
600,adios,벚꽃연금
601,djf***,벚꽃좀비 컴백
602,pow***,시작됬군...
603,sky***,좋아요...노래가 계속 반복되어서싫지만 좋네요
604,Black,다음주가 벚꽃 절정이랍니다~~
605,크로쉬조아,지구 멸망해도 벚꽃엔딩은 안없어질듯;
606,ith***,역시 벚꽃 엔딩ㅎㅎㅎㅎ 내년에도 후내년에도 올라와라♥
607,sam***,입대곡 그때는 그렇게 처량하던대...
608,뚜,공부ㅏ다보니까 벚꽃져서 개행복 ㅎㅎ
609,김뚱혜,스무살의 봄날이 생각나는 노래..말도 안되게 누워있는데 가슴벅찬노래
610,ㅈㅎㅇ,벚꽃좀비 벚꽃연금...♡
611,《리루엘》,벛꽃엔딩에 후폭풍 ㄷㄷ
612,너에게간다,이건뭐...  이번앨범 vs 벚꽃엔딩 ㅋ 과연승자는? ㅋㅋ
613,plenilune,이정도면 ㅋㅋㅋㅋ자신과의 싸움
614,김말자,여러분 봄이왔습니다 벚꽃연금이 올라오면 봄이온겁니다
615,너에게간다,올라오시네요 맞이 합시다 ㅋ 이번 봄도 벚꽃보러 가야겠군요 ㅎ
616,kms***,벚꽃연금
617,bji***,4년동안 들어도 질리지가않는다
618,sil***,제발 10위권에는 안오르게 해주셈
619,ㅇㅇ,역시 벚꽃좀비👍🏻
620,alc***,와ㅋㅋ 이노래는 언제까지이렇게 봄만되면 올라오는게 멈출까ㅋㅋㅋㅋㅋ 진짜대단하다 물론 노래가 너무좋다는건 함정ㅋㅋ
621,찡,왔다왔어
622,chr***,봄만되면 역주행 ㅋㅋㅋ
623,뚜,노래나올땐 커플이였는데 솔로돼서 다시들으니까 진짜 하......
624,ㅏ,벚꽃엔딩 승
625,kms***,+좀비
626,동혁c,열등감있냐?
627,아리,왜그래야함?ㅋㅋㅋㅋㅋ 웃기네
628,eun***,그만큼 불려지고 듣게 되는 곡이 좋은곡이란 거죠.
629,sil***,ㅇㅇ
630,xer***,봄만 되면 순위권으로 올라오는 깡패같은 노래 ㅠㅠ
631,5메2징,또 치고 올라오는구나
632,잇뚬,4년전이래..
633,천국위에한국,꽃좀비 왔능가?ㅋㅋㅋ 올해도 여전하네
634,ssu***,벚꽃 연어는 봄이되면 차트상류로올라오죠
635,보보싶,벚꽃시즌되면 또 탑텐가겠네
636,tae***,봄만 됬다하면  차트 역주행 하는 노래봄이 없어지더라도 이노랠 들으면  회상가능
637,he9***,벚꽃좀비 슬슬 올라오는거보니 봄이 왔구녀
638,sum***,개나리보다 먼저피는 벚꽃엔딩봄이 오는 소리~~
639,rio***,전체감상자 백만 찍었음 좋겠다
640,gks***,순위 오르기 시작 ㅋㅋㅋㅋ
641,xha***,기온 올라가면 순위도 올라가네
642,phw***,봄에 들을때마다 기분이좋음ㅋㅋ
643,kim***,벚꽃좀비가 또...
644,syl***,벚꽃연금 다시왔네
645,bon***,천삼백만입니다....
646,rio***,그건 전체 재생 수입니당
647,잇뚬,돌파
648,jon***,진짜봄만되면뜨는노래ㅋㅋㅇㅈ???
649,검은패드,진짜 이노래는 봄마다 평생나올듯하다..
650,vmf***,장벚꽃 이노래저작권료 46억 ㄷㄷ
651,You***,길터라 우리 버스커님들 올라가실 준비하신다
652,ㅈㅎ,오늘자 어느새 13위 ㅋㅋㅋ사월이면 1위 찍겠지!! 장범준🙆
653,Dyo***,또 차트역주행ㅋㅋㅋㅋㅋㅋㅋㅋ
654,딩딩우,너무 많이 들려서 질릴 법도 한데 봄이 되면 역시 이 노래만한 건 없는 것 같아요
655,6f,벚꽃좀빜ㅋㅋㅋ
656,lyn***,오늘 날씨가 급 따듯해져 또 들으러왔습니다.24지금부터 환갑까지 쭉 봄이면 찾게될 노래인듯
657,뀨,그대여 그대여 그대여 💕
658,wjd***,벚꽃엔딩 뮤비에 나오는 여자 현재 프로듀스101에 출연중인 강시라연습생입니다
659,han***,뮤직비디오 보니깐 왠지 따듯한 봄기운이 느껴진다. 봄은 봄인듯...
660,jih***,버스커버스커노래는 봄의들어야지 제맛(캬~)
661,den***,다른 추억은 없지만 스무살 봄이었던게 가장큼
662,twi***,벚꽃엔딩 또 왔네?반가워✋🏻
663,tham thmith,장범준 이랑 너무닮아서 장범준 여동생인줄 알았는데 강씨네요
664,스르르,와 또올라와..?
665,가슴뛰도록☆,낮엔 벚꽃보고 밤엔 벗고보고
666,wkd***,벚꽃 연금 다시올라오는군
667,렘넌21,명곡되었음  봄의 캐롤
668,eun***,또 다시 벚꽃엔딩의 계절이 왔나보네요...
669,ㅇㅁㅇㅇㅎㅎ,벛꽃엔딩계절
670,에지오 아디토레,그만 좀 듣자 씨발..
671,pat***,벚꽃이 빨리 피면 좋겠네요
672,바람별랑,"인류 멸망의 순간의 계절이 봄이라면,그때도 이 노래가 어디선간 들려오겠지?"
673,nab***,봄이랑 너무 잘 어울려....봄느낌을 그대로 담아낸듯...
674,nab***,와18위ㅋㅋㅋ대박이다 진짜ㅋㅋㅋ이론 노래 처음봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
675,vpoiuv,그대여~~~심쿵♡
676,앙리,좀비가 스물스물 기어 올라가고있다.
677,lol***,미친... 벚꽃 좀비다
678,ㅂ,벚꽃연금 오늘도 넣고 갑니다🌸🌸🌸뾰뵤뵹
679,sw0***,미친ㅋㅋㅋㅋㅋㅋㅋㅋ
680,야밤낚시,야해 ㅎ
681,psy***,대단하다 ㅋ진짜
682,kan***,이노래를 들으며 공중제비를 돌았습니다
683,spa***,꽃송이가 까지 치트올라가면 진짜 봄입니다 여러분ㅋㅋㅋㅋ
684,엄형,무섭게 치고 올라오고 있다!!!
685,ahs***,올해도 벚꽃 연금이 시작되나요? 올해는 우리 모두 소중한 짝과 벚꽃 구경 합시다. 좋아요♡ 누르실거죠? 누르는 사람한테만 짝이 생길지어다♡
686,니얄라,또 올라온다!반갑다!
687,stimulate,ㅋㅋㅋㅋㅋ신이시여 ㅋㅋㅋㅋㅋㅋㅋㅋ
688,mrk***,나도모르게 찾아서 듣고있다 ㅋㅋㅋ
689,캐피,연금복권 저리가라
690,picturesque,돈 마이 벌어라 범준아 형은 괘안타 배 안아프다 하하
691,Artorias,자 연금타러 가시죠!!!!!!!
692,구중완중완중완,매년좋아.. ❤
693,one***,존나 지겹다 벚꽃좀비
694,ㅋ,걍 민요수준임
695,tyk***,다시시작되었군
696,kyj***,왠지 설레 아무 추억없지만 .. ♡
697,din***,ㅋㅋㅍㅋㅍㄱㅂㄱㅂ 겁나웃김
698,jason,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
699,sha***,ㅋㅋㅋㅋㅋ민요 ㅋㅋㅋ
700,voxxunx,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
701,채간호사,대박 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
702,ㅋ,뭔소리세요 오래불리니까 민요라고한건데ㅋㅋ
703,kjm***,민요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
704,윤공주,ㅋㅋㅋㅋㅋ
705,lio***,ㅋㅋㅋㅋㅋ밑에난독증도웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
706,ㅈㅎ,ㅋㅋㅋㅋㅋㅋㅋㅋ 모두가 알아서 민요인 것도...
707,ㅎ,댓글개웃겨
708,nek***,민욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나중에 교과서에 실리겠다 다음 민요를 읽고•••
709,hsu***,앜ㅋㅋ ㅇㅈㄱ
710,jj5***,ㅇㄱㄹㅇ
711,지혜,완전 웃겨요ㅋㅋㅋ 봄에 부르는 민요임ㅋㅋㅋㅋ
712,ㅋ,다시 댓글좋아요알림이 오고있어...
713,아몬드초코,ㅋㅋㅋㅋㅋㅋ저분 이해를 못한듯
714,뚜,민요수준ㅋㅌㅋㅋㅋㅋㅅㅂㅋㅋㅋㅋㅋ난독댓글 민요의문의1패만드네ㅋㅋㅋㅋㅋㅋ
715,디제이선곡지리구요,ㅋㅋㅋㅋㅋㅋㅋ아 빵타졋네
716,jyi***,민욬ㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
717,블링꽁,개터짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그흔한 ㅋ 자도 없어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ단호박
718,zjg***,개터졌냌ㅋㅋㅋㅋㅋ
719,csc***,민요 지렸다ㅋㅋㅋ
720,daw***,fact
721,yun***,ㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㄱㄱㄱㅋㄱ뿜었땈ㅋㅋㅋㄱ
722,Catherine,아 개웃기닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나중에 교과서에 실리겠네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
723,unl***,ㅋㅋㅋㅋ 아진짜 너무 웃긴다ㅋㅋㅋㅋ 덕분에 처음으로 댓글남겨요ㅋㅋㅋ
724,alivesaint,ㅋㅋㅋㅋ 봄기덕 봄 더러러러
