,user,comments
168,aerimssa,벚꽃은효자 여수는효녀
169,yooson5,매번올라올때마다 또...? 이런생각도 드는데 솔직히 들을때마다 설레고 봄분위기를 제일 잘표현한곡같음
170,drbaley,봄이 왔네~ㅎㅎ
171,dbdusxor,봄이다ㅏ
172,spartan,그만좀 기어올라와
173,piggykm,좀비가 스멀스멀 올라온다 후후
174,yyh1001,봄엔 이노래를 들어줘야지! 넘나 좋은 노래
175,wnrdjqjfu33,역시 벚꽃연금...
176,hcssh,벚꽃시즌에는 들어줘야 제맛
177,dhkim,"먼훗날 한국에 봄이 사라진다면, ""봄은 어떤느낌이였나요??"" 누군가 물어본다면 벚꽃엔딩을 켜주면 될듯하다."
178,sejin3249,멋진 표현입니다^^
179,tmxhs325,이거 ㅈㄴ 떠도는 말아니야 지겹다..
180,kertyuio140,장봄준
181,soniu6262,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
182,parkjs421,ㅋㅋㅋㅋㅋㅋ
183,gkswl412,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
184,1220mario,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
185,eh2***,올라온거 보니까 봄이네 ㅎ
186,kc***,대다나다 이제 20위야 ㅋㅋ
187,cyoondoc,아..슬금슬금 또 올라오네 ㅋㅋㅋㅋ
188,pal917,벚꽃연금이라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
189,gold6***,사스가 벚꽃연금..
190,minah***,날씨 좋으니까 들어야죠 ㅎㅎ
191,hj24322,벚꽃연금 등판이여~
192,lamus***,올해도 ㅎㅎㅎㅎ
193,jyul,봄맞이로 들어야지 ㅎ
194,sys***,이노래 우리엄마도 따라부르더라 ㅋㅋㅋㅋ같이 길걷는데 봄바람 휘날리며~~~이러고 ㅋㅋㅋㅋㅋㅋ아진짜 국민봄노래임 ;;♡ 캐됴아아
195,ljh4***,연금♡♡♡
196,sg910***,이정도면 진짜 곡 하나로 연금..
197,kyn3355,현재 10계단 상승 42위 입니다.
198,sunze***,지금 여친이랑 오래가게 해주세요~
199,ekd***,ㅋㅋㅋ귀엽고 설레요
200,dear.***,벌써 올라오고 있는 중이냐 ㅋㅋㅋ
201,hasao***,올해도 올라오는 벚꽃좀비
202,ppp5***,벚꽃좀비
203,ljh4***,나도 행복한 봄이 되길 ♡
204,lhs***,벚꽃연금 시작ㅎㅎ
205,jesun***,다시 시작된 연금ㅋㅋ
206,flake***,돈 많이 벌고 여친 생기면 좋겠다 근데 안 생겨요 ㅎ..
207,sumi950,행복한 봄이되길
208,zy**,이맘때면 차트인
209,lej0242,연금엔딩이다
210,migom***,또다시 봄ㅠ
211,yoonj***,2017년 봄이 왔네요!
212,kyh_85,취업하게 해주세요
213,wjdtm***,봄이오구나
214,redvi***,지구 멸망의 그날까지 봄이오면 울려퍼질~~ㅎ
215,rbfvl1318,벚꽃연금~
216,charm***,진짜 다시들어도 안질린다 ？(？ ？▽′？)？？
217,thdud***,봄이다!!!!!!
218,tksgn***,올해도 왓어용ㅇ
219,jombi***,슬금슬금
220,zzxxcc756,좀있으면 또 흘러나오겠구먼
221,gloom***,또 1년이 지났구나
222,ironju1993,이제 또 올라오겠군
223,ojes***,개극혐
224,박도원,응 꾸예꾸에 늬가 다~맞다 좋구나 좋구나
225,wjdghksdl121,벛꽃연금 부럽다.. 난 언제 돈 버냐
226,chj5595,또 시작이냐
227,hir***,또 순위 올라가기 시작하네 ㅋㅋㅋㅋ
228,sogari2000,좋겠다. 통장에 차곡차곡 쌓이는 소리.
229,nss3181,으으으으어 좀비가 온다
230,kals01,벚꽃 좀비
231,surture,벚꽃 연금
232,poohj102,솔직히 봄하면 이만한 노래가 없긴 하지
233,sessoyu,또 슬글슬금 올라오네 대단하다
234,wonsch6207,그만 좀 나왔으면 좋겠다
235,znzpzh,평생 타먹겠네 ㅋㅋ
236,sdc04006,슬금슬금 다시 올라오기 시작햇다
237,smwqwer,벚꽃좀비
238,모장르트,다시 올라온다~
239,Kim  Dogyoon,또흥하겟네
240,mh9085,한국민요
241,sarangseam,ㅇㅈ
242,aintend,창작자의 좋은점은 바로 이런거
243,gunbbang4877,벚꽃연금
244,nada0717yah,좀비야 좀비 ㅋㅋ
245,psionicstorm,벛꽃연금
246,yyoh11,바람 불면 울렁이는 기분 탓에 나도 모르게 바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐오 또 울렁이는 기분 탓에 나도 모르게바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐
247,bbosoon1,나 그대 손잡고 꼭 손잡고 오래도록 걷고싶어...
248,wan4444,버스커 버스커는 벚꽃엔딩으로 엔딩이다. 이 이상의 임펙트를 넘으려면 스스로도 엄청 부담될 듯.
249,sjj0711,좋다
250,qkekskql,good
251,Induky,요즘 벚꽃 시즌 오니 생각나서 듣게 되네 ㅋㅋㅋㅋㅋ
252,샤밍밍,다시 들어도 좋다..............................
253,znzpzh,버스커버스커 진짜 쩌넹 ㅋㅋㅋ
254,jyh3431,이런게 명곡이지....도돌이표
255,-_-erosjin,좋아요굳굳
256,zimirerl,헐퀴..역주행...이런 현상은 첨 봤네..
257,yuli1740,봄이 오니까..그냥 듣고싶어지더라.가사가 예뻐!ㅎㅎ
258,egukek,레전드
259,pike2020,1년 전 노래인데도 불구하고 봄이 다가오니 벅스탑백에 올라오는 이 놀라움.
260,memor***,이 댓글이 2013년도꺼네요. ㅎㅎ지금은 2017년인데 날씨 풀려가니 지금도 올라오는 중입니다.ㅋㅋㅋㅋ
261,kbrlee,지금도 올라오네요^^
262,e-suki,2020년인 지금도 차트인 했습니다^^
263,plastici,슬슬 벚꽃날릴시기다가오니 또 생각나네...
264,kissme77002,봄바람이외날리며 그때부터 노래가 좋아지네욤
265,kissme77002,우리반에서이노래짱 ㅋㅋ
266,channy9866,아 노래 너무 조아요&gt;&lt;
267,jestert,마지막 그대여 그대여 그대여 그대여 그대여 하기전에 '오 예'가 빠졌네요 ㅎㅎ
268,gkstnqls904,ㅋㅋㅋㅋㅋㅋㅋ
269,shinwin82,벗꽃 다지고...여름이 되었어도..노래는 왜 들리는거냥?
270,glight12,목소리 죽인다 ㅋㅋ
271,ncu05175,ㅋㅋ
272,chuxxx,너무조아요 ㅎㅎㅎ
273,ye7089,좋당
274,yuli1740,지금처럼 따뜻한 봄날에 어울리는노래
275,jalnan792,이거 몇분의 몇박자인가요? 아시는분
276,dhsigud,앙대... 밀리고잇성ㅠㅠ
277,she1004g,연인과 함께걷고 싶어요 아 ---------------------설레임
278,qkralsrhrh,가성 ㄷㅇㄷ
279,dhsigud,짐심짱
280,yenna1997,느므조탕.........
281,duadhrzl,벚꽃 좋아하는데 노래까지 너무 좋네요 ㅠㅠ 인간적으로 노래가 이렇게 좋다는게..ㅠㅠ
282,corn05,가슴설레며 걸었던  대학새내기 첫 축제....그때 그  날리던 그 벗꽃이 생각나는 ...
283,miyoungA02,코맹맹이의 달달한 하모니가 봄바람타고 어느덧....진짜 너무 조으네용..!!!
284,gldrlddl325,너무 좋아 어떡함ㅠㅠㅠㅠ
285,shleeiou,",굳"
286,boboe,너무 조으다  ㅋㅋ!!!!!!!!!!!
287,jssh1515,드.디.어
