,melon_id,댓글
265,AJeongs,벚꽃도 뭐고 다 필요없어 이부분 너무좋다ㅠㅠ
266,ListenMe,좋다 좋은데 뭔가 부족한데 흐음
267,jhr0325,노래 진짜 너무 좋은 거 아니냐며;;;
268,토루플,굉장히 설레고 순수하면서 슬프다. 앞으로 아픔이 서릴 짝사랑의 풋풋한 시작을 보는듯한 가사에 괜히 옛생각이 나는 노래
269,ㅁㅈ329,타돌 얘기를 걍 하지 마세요 ㅜㅜ 볼사 노래가 얼마나 좋은데 ㅋㅋ
270,꽃길생성꾼,ㄹㅇ루다가 팬코 개많넼ㅋㅋㅋ 힘합만 듣는 애들이랑 가계정들 여기 와서 괜히 방탄 팬인척 하지마라 볼사팬한테도 민폐임 진짜 싸운날부터 팬인데 짜증나게 굴어ㅋㅋ
271,나드리갈까,볼사랑사춘기 다시 1위 가즈아!
272,alflwi,음색 진짜 좋네요 ^-^
273,음악계의샛별,진짜 좋은곡은 팬덤아니여도 여기까지 온다 1위하고있는곡도 좋지만 이곡도 그에 비할만큼 듣기좋은것같다
274,닉네임 없음,올해 봄노래ㅜㅜ 정말 이번노래도 분위기터짐..
275,sirosh223,볼사화팅!! 다운했어요 ㅇㅅㅇ
276,김_은우,아이돌은 팬덤문화라고 소속감 가지고 광적으로 집착해서 순위를 챙기지만 볼사는 그런 문화가 없기 때문에 이 위치가 더 대단한 거지 연령 스펙트럼이 그만큼 넓다는 거야
277,뱜두,"벚꽃도 뭐고 다 필요없어
이부분 개좋타..."
278,탈퇴한 회원,축하드려요 9만^^
279,노래를듣고있다,이번달만쓰고 갈아타련다 순위줄세우기 너무 심하네
280,European_Union,악플좀 그만달자
281,조용히있고싶다,"팬은아니지만 이노래를 처음접하고 계속 듣게됬어요 너무 좋네요
재생 다운로드
여행
볼빨간사춘기
Red Diary Page.2"
282,조용히있고싶다,팬코인지 아닌지 어떻게구분함?
283,ㅁ밍밍밍밍ㅁ,"볼사팬분들 밑댓글중 방탄운운하면서 볼사까는사람들 다 팬코입니다 뮤직 dna들어가 보시면 알수있어요 볼사분들 노래가 별로라니,당연히 말이 안되죠 저도 그렇고 제 주위사람들 다 볼사 노래에 빠져서 맨날 듣고있습니다 저도 방탄노래 들으면서 한번씩은 듣고요 그러니 저런 어그로성 댓들은 무시하세요 원래 당도높은 과일엔 벌.레가 꼬이는 법이잖아요"
