,melon_id,댓글
202,JB_.,"코로나야, 이 노래도 막을 수 있다면 막아 봐--
벚꽃 엔딩과 함께 코로나 엔딩"
203,JamesBay,"듣는 순간!
마음만은 봄의 한가운데"
204,돈짱짱,가자 이제 슬슬 차트 들어가보자~
205,jeffry16,2020년의 봄도 벚꽃 엔딩~
206,huije123,역시 봄 그 자체
207,우야--,눈물나 ㅠㅠ
208,멈무먐미,12년 발매한곡이 20년도에 1위찍게 생겼넼ㅋㅋㅋㅋㅋㅋ 영차영차
209,채니1104-1,이 노랜 너무 좋아 봄이 좋아 벚꽃이 좋아 그 때가 좋아
210,제로탁l,"벚꽃 엔딩 이 있어 너무 좋은 봄날
코로나땜시 노래는 더 들을듯"
211,108동504호.,범준이형 수금 할 시간이다 멜론 긴장타라
212,Giovanni,자 여러분 1위 찍어봅시다
213,Com123_건빵,진짜 매년 소름돋게 봄마다 올라오넿
214,동2이,벚꽃좀비 무섭다 ㄷㄷ
215,0syooo,봄의 사도 봄의 전령
216,레드벨벳_forever,진짜 언제까지 벚꽃엔딩이 차트인을 할까ㅋㅋㅋㅋㅋ
217,BDZ.,ㄹㅇ 이정도면 좀비야 ㅋㅋㅋㅋㅋㅋ
218,yun_anna,날씨 좋다...*_*
219,lcy626,차트에서 봄의 시작을 알리는 곡 ㅎㅎ
220,OG한다,봄이 왔군요
221,팡군몽키,슬금슬금 또 올라오네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
222,초록별o7,역시 봄에는 벚꽃 엔딩 :)
223,Ynee_0963,오늘 날씨가 너무 좋아서 벚꽃엔딩을 안 들을 수가 없었다 코로나 제발 사라져줘
224,꽃처럼_피어나,"이 노래가 올라왔다는건?
봄이 왔다는 증거"
225,김강90,코로나도 못 막는 벚꽃좀비
226,인성아아아아,출격 봄좀비
227,Aisuwy,올해 봄엔 나가질 못하지만 내년에는 이 노래를 나가서 듣고 싶다
228,Leyre_,또올라오네ㅋㅋㅋㅋ
229,지밍츄,봄산타!!!!!!! +_+
230,은주우주동진,봄이네ㅋㅋㅋ
231,corh_silver,몇년 째 봄만 되면 듣지만 여전히 좋네
232,정혜성,시작됫군
233,dglee23a,차트에 올라왔네
234,VATO,날씨보니까 범준이형 스킨값 벌기 딱 좋네
235,B1int2014,"이 노래가 다시 올라갈 때는
지금 이 무거운 봄이 다시 살랑대기를!!"
236,나는임재욱,슬슬 올라와야죠 실버 형님
237,승쑤s2,이 노래가 차트에 떠야지 봄이 온것 같다
238,잡덕_R,놀면 뭐하니 보고 생각나서 다시 왔어요!!ㅎㅎ
239,쌤욱,"놀면 뭐하니? 보고 왔습니다.
코로나 19 때문에 봄을 빼앗겼지만,
범준 형님의 벚꽃엔딩 덕분에 봄을 되찾았습니다.
감사합니다!"
240,Hello2020,장범준클라쓰
241,ㅡㅡㅡㅡㅁ,봄이구만 ♪♬~~야
242,Zuu_,"신난다 ㅠㅠ 벌써 벚꽃 만발한 기분,,, 이노래는 미친노래다ㅠ 대학시절 풋풋함이 그대로 느껴짐"
243,blueday320,100위권에 들어온거보면 오늘 진짜 봄날씨구나
244,탈퇴한 회원,9년연속차트인.... 진짜말이안된다... 코로나 때문에 올해는 좀 늦게올라오셧는데 이제 차트인 하셨으니 수직상승 분노의질주할일만 남았네 누가뭐래도 봄=벚꽃엔딩은 진리지
245,Seafj,이 시국에도 역시 갓범준은 여전하네 ㅋㅋㅋ
246,YKW0,2020년도 어림없네 ㅋㅋㅋ
247,네오0e6j6,"흔꽃샴향 vs 벚꽃엔딩
4월되면 벚꽃엔딩이 이길듯"
248,뮤직is마yee라이fe,이야 봄되니까 차트인하시는거봨ㅋㅋㅋ신기하다
249,의대생냥냥,ㅁㅊ 진짜 몇년째나오는거냨ㅋㅋ 개띵곡
250,초월함수.,왔다!
251,킴미히75,벚꽃님 코로나 좀 쫓아주세요
252,로댕이,올해도 어김없이 찾아온 벚꽃엔딩의 계절❤
253,최고야_,벚꽃엔딩 곡의 계절이에요 너무 좋아요~^^
