,user,comments,processed_comment
95,kik***,시동걸자ㅏ,"['시동', '걸다']"
96,죠,"9년동안 한결같이 봄에 찾아오는 노래 🤍들을때마다 마음 편해지고 설레는 ,기분 좋아지는 노래 ❤️🤎","['봄', '찾아오다', '노래', '들다', '때', '마음', '편하다', '설레다', '기분', '좋아지다', '노래']"
97,VIP,봄이 오는군,"['봄', '오다']"
98,lillianseo,전 남자친구요....ㅋㅋㅋㅋㅋ,"['전', '남자친구']"
99,.,저두 남자친구요...,"['저', '남자친구']"
100,쵸,오늘 날씨가 너무 좋아서 틀었어요 ☺️,"['오늘', '날씨', '좋다', '틀다']"
101,rom***,그때가 다시 돌아왔다,"['그때', '다시', '돌아오다']"
102,취미는사랑,형들 슬슬 시동걸어야지??,"['형', '슬슬', '시동', '걸다']"
103,hch***,봄 노래지만 사계절 아무때나 들어도 산뜻한 노래,"['봄', '노래', '사계절', '때', '들다', '산뜻하다', '노래']"
104,불끄고노래듣는사람,벚꽃 엔딩 쿨 곧 돌겠다,"['벚꽃', '엔딩', '쿨', '곧', '돌다']"
105,jihye,벚꽃 연금 ㄷㄷㄷ,"['벚꽃', '연금']"
106,jihye,봄이라고 하면 이런 상쾌한 봄이 생각나야 하는데 나는왜 미세먼지가 생각날까ㅋ,"['봄', '하다', '이렇다', '상쾌하다', '봄', '생각나다', '하다', '나', '왜', '미세먼지', '생각나다']"
107,pap***,입춘 실화냐.... 올해는 꼭 꽃길걷고싶다🌸 솔탈도...,"['입춘', '실화', '올해', '꼭', '꽃길', '걷다', '솔탈']"
108,chu,날씨가 벌써 봄같아서 일찌감치 들으러옴 🌸 설렌다,"['날씨', '벌써', '봄', '같다', '찌', '감치', '들다', '옴', '설레다']"
109,HKUNK,사랑하는 사람이 없을때는 고통스러운 노래였는데사랑하는 사람이 생기니 너무 좋다,"['사랑', '하다', '사람', '없다', '때', '고통스럽다', '노랗다', '사랑', '사람', '생기다', '좋다']"
110,UNKNOWN,벚꽃 스타트도 있었으면 좋겠다,"['벚꽃', '스타트', '있다', '좋다']"
111,sh0***,이제 곧 있으면 머라이어 캐리 누님 캐롤 들리다가 2019년이 끝나고 2020년의 벚꽃 엔딩이 시작되겠구만.. 한해 덧없이 빨리 간다 ㅠㅠㅠ,"['이제', '곧', '있다', '머', '라이어', '캐리', '누님', '캐롤', '들리다', '끝나다', '벚꽃', '엔딩', '시작', '되다', '한해', '덧', '간다']"
112,UNKNOWN,봄에부르는 단골 민요..,"['봄', '부르다', '단골', '민요']"
113,EXINE,좋은곡.,"['좋다', '곡']"
114,sto***,사랑하는 사람이 생기니까 더욱 힘드네요..,"['사랑', '하다', '사람', '생기', '더욱', '힘드다']"
115,어쩌라구용,아무도 안물어봤지만네 그렇습니다저는 모솔입니다༼; ́༎ຶ ۝༎ຶ`༽흐어어엉,"['아무', '물어보다', '그렇다', '저', '솔', '이다']"
116,◡̈,커플 망해라...,"['커플', '망하다']"
117,⁰,? (저도 왜 으악을 썼는지 모르겠어요ㅋㅋㅋㅋㅋ (자기가 말하고 자기가 까먹기)),"['저', '왜', '써다', '모르다', '자기', '말', '자기', '까먹다']"
