,melon_id,댓글,processed_comment
511,JJJHHHHHHHH,처음 들을 때 노래전개가 지루해서 안듣고 있었는데 앞부분 맬로디가 계속 생각나서 듣다보니깐 중독되버림,"['처음', '들다', '때', '노래', '전개', '지루하다', '듣다', '있다', '앞', '부분', '매다', '로디', '계속', '생각나다', '듣다', '보', '중독', '되다', '버리다']"
512,Lycin,조아 죠아,['좋다']
513,모A_In스피릿,"<1월초>
1위: 넘쳐
2위: 12시
3위: (360÷2)도
4위: got dragon ash
5위: sO1o

<현재: 4월초>
1위: 나만, 봄
2위: 죽여(??) 이 사랑
3위: 4계
4위: 별 보러 갈래?
5위: 사wol2 지나면 uri 해어져yo

차트 변동 오지는 군(근데 그걸 우리 볼4가 집권ㅋㅋ 대박)","['위', '넘치다', '위', '위', '도', '위', '위', '현재', '위', '나', '봄', '위', '죽이다', '이', '사랑', '위', '계', '위', '별', '보다', '갈래', '위', '사', '지나다', '해어지다', '차트', '변동', '오지', '군', '우리', '볼', '가다', '집권', '대박']"
514,Stray_77,나온지 3일이 지났는데도 이용자 100만 실화냐,"['나오다', '지나다', '이용자', '실화']"
515,Leegwonsang,안졍 목소리 독보적,"['안졍', '목소리', '독보']"
516,아이유-사랑해,볼빨간사춘기는 사랑입니다!❤,"['볼', '빨갛다', '사춘기', '사랑', '이다']"
517,J.ihy.e,백만명 ㅁㅊ ㅋㅋㅋㅋ,['백만']
518,호호롤로롤로,필요없소,['필요없다']
519,광환,처음부분 사랑이 뭔데랑 개 비슷하다,"['처음', '부분', '사랑', '데', '개', '비슷하다']"
520,탈퇴한 회원,노래나온이후로 쭉 이용자수 100만이상이네 갓이다,"['노래', '이후', '쭉', '이용', '자수', '갓']"
521,바선,나만 바보 선샤인 들었나? ㅋㅋㅋㅋ,"['나', '바보', '선샤인', '들다']"
522,문성현,믿듣볼,"['믿다', '듣보다']"
523,봄향기_가득한,믿고 듣는 볼빨간사춘기ㅠㅠㅜㅠㅠ❤,"['믿다', '듣다', '볼', '빨갛다', '사춘기']"
524,코코넛--,이게 제일 좋아..ㅜ,"['이', '제일', '좋다']"
525,연다린,넘 좋아,"['넘다', '좋다']"
526,KSECMHSA,ㄹㅇ띵곡임 믿고듣는볼사,"['띵곡임', '믿다', '듣다', '보다']"
