,youtube_id,comment,like_num,processed_comment
22,하투29편의점,"이거 볼여고할때 제목생각안나서 볼빨간사춘기도 쳐봤는데 안나와서 진짜 오랜만에 본다.. 
아직도 재밌네..ㅎㅎㅎ",1개,"['거', '볼', '여고', '하다', '때', '제목', '생각', '안나', '볼', '빨갛다', '사춘기', '치다', '보다', '나오다', '진짜', '만', '보다', '재밌다']"
23,치츄,요즘 탄천에 가보면 모든 사람들이 마스크 쓰고 걸어다니는데 왜 이렇게 익숙할까... 코로나 빨리 진정되고 마스크 가지러 집에 다시 나녀오는 그런 일이 없어지도록.... 해봅시다 ㅋㅋ,12개,"['요즘', '탄천', '가보다', '모든', '사람', '마스크', '쓰다', '걸다', '왜', '익숙하다', '코로나', '진정', '되다', '마스크', '가다', '집', '다시', '나녀', '오다', '그렇다', '없어지다', '해보다']"
24,사만다,0:38화살맞는거 왤케 리얼해 ㅋㅋㅋㅋㅋ,203개,"['화살', '맞다', '왜', '리얼', '하다']"
25,허이랑,너무 좋아용,3개,['좋다']
26,최은규,",봄이온것같아요정말정말기분이좋고심장이터질것같아요",1개,"['봄', '오다', '같다', '기분', '좋다', '고심', '터지다', '같다']"
27,심혜미,봄하고 어울리는 상큼한띵곡 이네요~~ㅎㅎ역시 믿고보고듣는 볼빨간 사춘기만의 매력이 어울리는 노래에다가 진짜봄에듣기좋은 노래네요!!볼빨간 사춘기 짱짱!!,24개,"['봄', '어울리다', '상큼', '띵곡', '이다', '역시', '믿다', '보고', '듣다', '볼', '빨갛다', '사춘기', '매력', '어울리다', '노래', '진짜', '봄', '듣기', '좋다', '노랗다', '볼', '빨갛다', '사춘기', '짱짱']"
28,키르시LOVE,ㅘ..이게 벌써 1년 전이라니...ㄷㄷ,3개,"['이', '벌써', '전이']"
29,이시국,봄인 그곳은 코로나가 종식했나요,2개,"['봄', '곳', '코로나', '종식', '하다']"
30,개찡긋,가슴이 말랑말랑해는것이 참 좋네요,2개,"['가슴', '말랑말랑하다', '차다', '좋다']"
31,윤어리다,볼빨간사춘기 볼빨간갱년기 될때까지 활동해주세요 ㅠ❤💕❣,193개,"['볼', '빨갛다', '사춘기', '볼', '빨갛다', '갱년기', '되다', '때', '활동', '해주다']"
