,user,comments,processed_comment
259,glight12,목소리 죽인다 ㅋㅋ,"['목소리', '죽이다']"
260,chuxxx,너무조아요 ㅎㅎㅎ,['좋다']
261,ye7089,좋당,['좋다']
262,yuli1740,지금처럼 따뜻한 봄날에 어울리는노래,"['지금', '따뜻하다', '봄날', '어울리다', '노래']"
263,jalnan792,이거 몇분의 몇박자인가요? 아시는분,"['거', '분', '박자', '아시', '분']"
264,dhsigud,앙대... 밀리고잇성ㅠㅠ,"['대다', '밀리', '잇다', '성']"
265,she1004g,연인과 함께걷고 싶어요 아 ---------------------설레임,"['연인', '걷다', '싶다', '설레임']"
266,qkralsrhrh,가성 ㄷㅇㄷ,['가성']
267,dhsigud,짐심짱,['짐심']
268,yenna1997,느므조탕.........,['느므조탕']
269,duadhrzl,벚꽃 좋아하는데 노래까지 너무 좋네요 ㅠㅠ 인간적으로 노래가 이렇게 좋다는게..ㅠㅠ,"['벚꽃', '좋아하다', '노래', '좋다', '인간', '노래', '좋다']"
270,corn05,가슴설레며 걸었던  대학새내기 첫 축제....그때 그  날리던 그 벗꽃이 생각나는 ...,"['가슴', '설레다', '걸다', '대학', '새내기', '첫', '축제', '그때', '그', '날리다', '그', '벗꽃', '생각나다']"
271,miyoungA02,코맹맹이의 달달한 하모니가 봄바람타고 어느덧....진짜 너무 조으네용..!!!,"['코맹맹이', '달달', '하모니', '봄바람', '타고', '어느덧다', '진짜', '좋다', '용']"
272,gldrlddl325,너무 좋아 어떡함ㅠㅠㅠㅠ,"['좋다', '어떡하다']"
273,shleeiou,",굳",['굳다']
274,boboe,너무 조으다  ㅋㅋ!!!!!!!!!!!,['좋다']
275,jssh1515,드.디.어,"['드', '디']"
