,user,comments,processed_comment
88,7213379sumi,200번째댓,"['번', '댓']"
89,조용빈,노래 제목부터 엔딩인데 끝날 줄을 모르넼ㅋㅋㅋ,"['노래', '제목', '엔딩', '끝나다', '줄', '모르다']"
90,dltprlekd,또왓군,['또왓군']
91,munjunoh02,봄이드아 !!!!!,"['봄', '이드']"
92,화이팅,봄이  오니  다시  왕이  돌아오셨네!!!,"['봄', '오니', '다시', '왕', '돌아오다']"
93,얍얍얍,슬금슬금 차트진입...ㅎ,"['슬금슬금', '차트', '진입']"
94,데구르르,좀비같은 노래야 ..하하,"['좀비', '같다', '노래', '하하']"
95,whwhdtjf,불사신인가..!! 봄만되면 살아나는 노래다 ㅋㅋㅋㅋㅋ군대에서 이노래 들어라~,"['불사신', '봄', '되다', '살아나다', '노래', '군대', '이노', '들다']"
96,hsk501,6년째...이야 이정도면 그냥 진짜 멜론짱님 말대로 음악책에 실어요ㅋㅋㅋㅋ,"['정도', '그냥', '진짜', '멜론', '짱', '말', '음악', '책', '실어']"
97,Goldpig,벌써오셨네,"['벌써', '오다']"
98,rlaaltjs7580,이노래가 차트인 하면 봄 시작이다 벚꽃연금 가즈아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,"['노래', '차트', '하다', '봄', '시작', '벚꽃', '연금', '가즈']"
99,dongzzuny,지겹다고 느끼면서도 이 시즌이 되면 어쩔수없이 생각이 나는 노래,"['지겹다', '느끼다', '이', '시즌', '되다', '생각', '나', '노래']"
100,chldmsdud23,차트 보다 흠칫한사람 손,"['차트', '보다', '흠칫', '사람', '손']"
101,2run_jegill,무섭다 무서워 ㅋㅋㅋ 좀빜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['무섭다', '무섭다', '좀비']"
102,yunmi1359,연금 보태러 왔습니다,"['연금', '보태', '러', '오다']"
103,멜론짱,이정도면 음악책에 실어야된다,"['정도', '음악', '책', '실어', '되다']"
104,꾹_,중1 음악책에 실림 ㅁㅊㅋㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['중', '음악', '책', '실리다']"
105,kangyj9322,이제는 봄에 안들으면 허전하다ㅋㅋㅋㅋ,"['이제', '봄', '들다', '허전하다']"
106,ktwe3236,벌써 봄이냐..,"['벌써', '봄']"
107,hotra0307,벚꽃 연금 좋아!,"['벚꽃', '연금', '좋다']"
108,유느,이제 기어 나오는 것이냐...,"['이제', '기어', '나오다', '것']"
109,Kingcrap,슬슬기어올라온다,"['슬슬', '기어', '올라오다']"
110,akibyori,이걸 내가 또 들으러 왔네,"['걸', '내', '또', '들다', '오다']"
111,lch6339,연금떡상 가즈아,"['연금', '떡', '가즈']"
112,Polish,"굉장히 질리는것 같으면서도, 막상 들으면 간질간질한목소리에 설레이기시작ㅋㅋㅋㅋㅋ","['굉장하다', '질리다', '같다', '막상', '들다', '목소리', '설레다', '시작']"
113,헤헷이득,아니 영구제명해야되는거아니냐 이정도면,"['아니다', '구제', '하다', '되다', '정도']"
114,개미똥꾸멍,또 그들이 다가온다 . .,"['또', '그', '다가오다']"
115,hahanalra,어느덧 50위권!!ㅋㅋㅋ,"['어느덧다', '위']"
116,Fuffe,범준이형 돈 떨어졌단다 얼른 올려라 얘들아,"['범준', '이형', '돈', '떨어지다', '얼른', '올리다', '얘']"
117,sus2005,차트1위 가즈아,"['차트', '위', '가즈']"
118,keeen,이 노래는 말 그대로 레전드인듯!!!!!,"['이', '노래', '말', '그대로', '레전드', '듯']"
119,이진환,좀비엔딩 가즈아,"['좀비', '엔딩', '가즈']"
120,jwhylove3,봄이 왔다 올려라,"['봄', '오다', '올리다']"
121,이쁜손,진짜 너무 완벽한 봄노래야ㅠㅠ너무 좋아 벚꽃엔딩 없이 봄을 맞이 할 순 없지,"['진짜', '완벽하다', '봄', '노래', '좋다', '벚꽃', '엔딩', '봄', '맞이', '하다', '순', '없다']"
122,vdpav02,봄이오면 들어야하는 노래! 질리지만 안들으면 섭섭한 노래,"['보다', '들다', '야하다', '노래', '질리', '들다', '섭섭하다', '노래']"
123,zestando56,쭈우우우욱쭈우우우우우우ㅜㄱ쭈우우우욱 연그음이 올라간다아아ㅏㅏㅇ,"['쭈우우우욱쭈', '쭈우우우욱', '음', '올라가다']"
124,치고보니엄마,아 네 또 40억 벌러 오셨어요?,"['네', '또', '벌다', '오다']"
125,SeunghoonJung,연금시즌 스타트....,"['연금', '시즌', '스타트']"
126,sus2005,그대여그대여그대여,"['대여', '대여', '대여']"
127,Pobest,어 그래 왔어??,"['그렇다', '오다']"
128,hyunjae1101,이 노래의 엔딩은 대체 언제? 진정한 종신보험이다,"['이', '노래', '엔딩', '대체', '언제', '진정하다', '종신', '보험']"
129,joi1118,ㅠㅠㅠㅠ또 오는구나. 봄중행사,"['또', '오다', '봄', '행사']"
130,외않되,먼지엔딩으로 바꿔라ㅠㅠ,"['먼지', '엔딩', '바꾸다']"
131,올해부터서른,하 온다,['오다']
132,rudqlsdnr,벚꼼좀비닥!!!!!!!!!!!!,['벚꼼좀비닥']
133,다람쥐,연금엔딩철이 다가오네요,"['연금', '엔딩', '철', '다가오다']"
134,pnike0426,2018 첫 벚꽃엔딩을 듣네,"['첫', '벚꽃', '엔딩', '듣다']"
135,dsa1909,벚꽃코인 가즈아~,"['벚꽃', '코인', '가즈']"
136,toma9211,ㅋㅋ아진짜 봄만되면 생각나네 왤캐 안질리구 좋징ㅎㅎㅎ,"['진짜', '봄', '되다', '생각나다', '왤다', '캐', '안질리다', '좋다', '징']"
137,달아달아,매번 봄되면 생각나고 질릴법도 한데 도입부를 들으면 여김없이 설레인다,"['매번', '보다', '면', '생각나다', '질리다', '법도', '도입', '부르다', '들다', '여기다', '설레다']"
138,Yomafa,차트 올라가즈아!,"['차트', '올라가다', '아']"
139,새벽녘,커밍쑨,"['커밍', '쑤다']"
140,hahanalra,올해도 즐겁게 벚꽃 볼수있기를!,"['올해', '즐겁다', '벚꽃', '보다', '있다']"
141,jihoonikk,이제 10위권 진입을 만들어 보고자하는 맘까지 생겼다...,"['이제', '위', '진입', '만들다', '보고', '자하', '맘', '생기다']"
142,sondj,매년 댓글이 똑같네 ㅋㅋ,"['매년', '댓글', '똑같다']"
143,_dmani,벌써 땡기는 거 보니깐 장범준씨 화장실 타일 하나 정도는 해드릴 수 있을 거 같네요,"['벌써', '땡기다', '거', '보', '장범준', '화장실', '타일', '하나', '정도', '해드리다', '수', '있다', '거', '같다']"
144,petpro,벚꽃 좀비의 귀환,"['벚꽃', '좀비', '귀환']"
145,godqhrtkfkdd,이만한 봄노래 없는듯 짱 좋아,"['이만', '봄', '노래', '없다', '짱', '좋다']"
146,별의축제,3월이다 벚꽃길 가보즈아~~~~,"['벚꽃', '길', '가다', '보즈']"
147,오진우,ㅋㅋ나만 생각하는게 아니었구나 ㅋㅋㅋ,"['나', '생각', '하다', '아니다']"
148,히키,슬슬,['슬슬']
149,눈사,이제 또 나올때가 됬다,"['이제', '또', '나오다', '때', '되다']"
150,951202_,죠아아,['좋다']
151,0804,곧 ㅎㅎ,['곧']
152,아테나9,일어나세요 용사여,"['일어나다', '용사']"
153,1358twin,그냥 좋다🌸,"['그냥', '좋다']"
154,dbsdudthf,요번 봄에도 ..!!,"['번', '봄']"
155,mody,몇 달만 있으면 또 온 거리에 울려퍼지겠군요 ㅎㅅㅎ 봄캐롤,"['몇', '달', '있다', '또', '온', '거리', '울리다', '봄', '캐롤']"
156,paris444,전설의 벚꽃연금..,"['전설', '벚꽃', '연금']"
157,호쓰,내년에는 사랑하는 사람과 같이 듣기를,"['내년', '사랑', '하다', '사람과', '듣기']"
158,김주완,봄이란 이런 느낌...,"['봄', '이렇다', '느낌']"
159,hy_ahn,다외웠다!^^,['외우다']
