,youtube_id,comment,like_num
88,김가희,이노래는들어도들어도너무좋아요!,1개
89,예진,자기 혼자만 봄이라는 뜻도 있고 상대방이 자기 자신만 보라는 의미도 있어서 참 슬프네요ㅠㅠ,22개
90,IyliaPotato,why all BOL4 songs is underrated 😭😭😭 this song stuck in my head 🥺❤️,3개
91,AyubAmirMuslim,1 years ago😭,4개
92,아쿠Arium,"저는 가사 보면서 노래듣는게 좋아서 적었어요. 🌼노래 너무 좋다🌼
볼빨간사춘기 - 나만, 봄

안돼 그만둬 거기까지 해 
더 다가가면 너 정신 못 차려
안돼 그만해 꽃은 넣어둬 
그냥 좀 바람이 불게 놔줘
왜 그럴까 사람들은 
그냥 봄기운이 좋아 
눈치 없이 밖을 나가는 걸까
왜 이럴까 뭐가 설렌다고
 봄바람이 좋아
 내 맘도 모르고 더 불어와
flower sunshine 완벽한 하루를
 사실 너와 걸을 수 있다면 
얼마나 좋을까
좋아한다고 말하기가 무서워서
 네 곁을 맴돌고 있는 난
벚꽃도 뭐고 다 필요 없어 
나는 네 곁에 있고 싶어 딱 붙어서
봄이 지나갈 때까지
 다른 사람 다 사라져라 나만 봄
왜 그럴까 사람들은 
그냥 봄기운이 좋아 
눈치 없이 밖을 나가는 걸까
왜 이럴까 뭐가 설렌다고 
봄바람이 좋아 내 맘도 모르고
 더 불어와
flower sunshine 완벽한 하루를
 사실 너와 걸을 수 있다면 
얼마나 좋을까
좋아한다고 말하기가 무서워서
 네 곁을 맴돌고 있는 난
벚꽃도 뭐고 다 필요 없어
 나는 네 곁에 있고 싶어 딱 붙어서
봄이 지나갈 때까지 
다른 사람 다 사라져라
언제 봄이 왔는지 내 맘도 모르고
 봄바람이 자꾸만 불어와
네 곁에 딱 붙어서 
떨어지지 않고 싶어
 내 맘을 이제 말하고 싶어
벚꽃도 뭐고 다 필요 없어 
나는 네 곁에 있고 싶어 딱 붙어서
봄이 지나갈 때까지 
다른 사람 다 사라져라 나만 봄",160개
93,튜바,화살 꽂을 때 표정 너무 귀엽다 ㅎㅎ,2개
94,신윤경,노래가  너무좋아요,2개
95,PreemyPreem,I want to be like bol4 can take the boy XD,2개
96,bubububu,This make me calm and smile i want my oppa with me :(,1개
97,김지은,진짜 음색 개사기...ㅠㅠ,163개
98,김하윤,"와,,, 첨에는 나의 사춘기에게에 빠졌다가 다시 워커홀릭에 빠지고 또 여행 빠졌다가 여기로 왔네...진짜 빠져나갈수 없는 블랙홀이다...",1개
99,beatricenickthereal,"Andwae geumandwo geogikkaji hae
Deo dagagamyeon neo jeongsin mot charyeo
Andwae geumanhae kkocheun neoeodwo
Geunyang jom barami bulge nwajwo

Wae geureolkka saramdeureun
Geunyang bomgiuni joa
Nunchi eopsi bakkeul naganeun geolkka
Wae ireolkka mwoga seollendago
Bombarami joa
Nae mamdo moreugo deo bureowa

Flower sunshine
Wanbyeokan harureul
Sasil neowa georeul su itdamyeon
Eolmana joeulkka
Joahandago malhagiga museowoseo
Ne gyeoteul maemdolgo inneun nan
Beotkkotdo mwogo da pillyo eopseo
Naneun ne gyeote itgo sipeo ttak buteoseo
Bomi jinagal ttaekkaji
Dareun saram da sarajyeora naman bom

Wae geureolkka saramdeureun
Geunyang bomgiuni joa
Nunchi eopsi bakkeul naganeun geolkka
Wae ireolkka mwoga seollendago
Bombarami joa
Nae mamdo moreugo deo bureowa

Flower sunshine
Wanbyeokan harureul
Sasil neowa georeul su itdamyeon
Eolmana joeulkka
Joahandago malhagiga museowoseo
Ne gyeoteul maemdolgo inneun nan
Beotkkotdo mwogo da pillyo eopseo
Naneun ne gyeote itgo sipeo ttak buteoseo
Bomi jinagal ttaekkaji
Dareun saram da sarajyeora


Eonje bomi wanneunji
Nae mamdo moreugo
Bombarami jakkuman bureowa
Ne gyeote ttak buteoseo
Tteoreojiji anko sipeo
Nae mameul ije malhago sipeo

Beotkkotdo mwogo da pillyo eopseo
Naneun ne gyeote itgo sipeo ttak buteoseo
Bomi jinagal ttaekkaji
Dareun saram da sarajyeora naman bom",28개
100,천유정,"펜이에요ㅠㅠ
이뻐요ㅠㅠ",1개
