,youtube_id,comment,like_num
56,donghwiseo,이 노래도 벚꽃 엔딩 못지않은 띵곡인데.. 워낙 벚꽃 엔딩이 쎄서 ㅋㅋㅋ,1개
57,사랑해요입분,장범준♥♥,1개
58,송현우,아직도 듣고있는사람,0개
59,Matu16,"Cuando era más pequeña mi mamá ponía esta banda y otras bandas coreanas,siempre busque está canción cuando mi mamá tuvo q salir del país nunca la encontré hasta ahora,tengo una sección a ella :D",1개
60,이진규,이제 이거 들으면 쏴라 두잡짜루 라라루루 이게 머리에서 떠나질않는다...,3개
61,배준희,봄만 되면 듣는 노래🙆‍♀️❤🌺🥀🌹,2개
62,척노리스,"이 노래를 들으면
헤어진 사람이 생각나서 슬프기도하고 
그와 동시에 뭔가 설레이기도하고 
말로 표현못하는 기분임ㅎㅎㅎ",1개
63,꿈틀쓰,2019년 손!,40개
64,molamola,정말 이 곡 처럼 나의 마음에 와닿았던 청춘의 노래도 없었던듯.. 이렇게 신나는 노랜데도 듣다보면 마음이 울렁울렁,0개
65,MariaJesusRevillot,💗 i love this playlist,8개
66,agavond유랑자,이건 진심 언제나 들어도 띵작이다...,5개
67,sungjunAn,버스커 버스커  .. 장범준을  세상에  알려준  예리밴드에게  깊은  감사를  보낸다...,2개
68,손봉기,배드민턴 치자고 꼬셔 커피한잔 하자고 불러 동네한번 걷자고 꼬셔 넌 한번도 그래 안된다는 말이 없었지 꽃송이가 꽃송이가 그래그래 피었네 꽃송이가 꽃송이가 그 꽃한송이가 그래그래 피었구나 거리의 사람들 수많은 사람들 그길의 사람들 그대 나는 내게 얼마만큼 특별한건지 그게 어려운거야 그게 어려운거라 그게 어려운거야 맛있는거 먹자고 꼬셔 영화보러가자고 불러 단대 호수 걷자고 꼬셔 넌 한번도 그래 안된다는 말이 없었지 꽃송이가 꽃송이가 그래그래 피었네 꽃송이가 꽃송이가 그래 꽃한송이가 그래그래 피었구나 거리의 사람들 수많은 사람들 그 길의 사람들 그대 나는 내게 얼마나 특별한건지 그게 어려운거야 그게 어려운거라 그게 어려운거야 좋아 좋아 하모니카 솔로 꽃송이가 꽃송이가 꽃송이가 그래그래 피었네 꽃송이가 꽃송이가 그 꽃한송이가 그래그래 피었구나 거리의 사람들 수많은 사람들 그 길의 사람들 그대 나는 내게 얼마나 특별한건지 그게 어려운거야 그게 어려운거라 그게 어려운거야 ,4개
69,bagmanbool,20년  3월에 오신분 손🖐🖐🖐🖐🖐🖐,38개
70,COCOCOCOCOCO,이 노랜 매년 들리누,1개
71,최강현,진짜 노래  감동 받았어요,5개
72,김때끼,꽃송이가 몇년째 듣지만 넘좋습니다 ㅎㅎㅎ,3개
73,DawonBaek,"어쩌면 이리도 봄날에 시작하는 눈부신 연인을 잘 표현하셨는지ㅎㅎㅎ
이 노래를 들으며(가사를 음미하며) 저절로 미소가 지어진다면 지금 당신은 무지 행복한 상태랍니다.ㅎㅎㅎ",0개
74,사랑해요입분,♥♥♥,1개
75,문정식,버스커 노래 참 좋다,11개
76,Leeminji,"0:00 간주 시작
0:19 노래 시작",0개
77,김시영,2020년에 올사람 손,1개
78,luvlockJ,버스커 1집은 진짜 명반이다,1개
79,임관용,이번봄은 코로나구나,5개
80,dfshehdbdbd,"내사촌동생 고1때까지 패싸움, 오토바이, 담배, 삥뜯기, 숙모 비상금 훔치기 등 삼촌도 포기한 문제아에 꼴통이었는데
이노래 듣고 단대호수가 보고싶어서
고2때부터 각성하고

결국 정시로 단대가더라ㅋㅋㅋㅋ",19개
81,정재호,"꽃송이가  꽃송이가 그래그래 피었네
꽂송이가 꽃송이가 그 꽃 한 송이가 그래그래 피었구나
거리에 사람들~
수많은 사람들~",7개
82,양진우,지고 피고 지고 피고 이게 인생이지 그치 꽃송아 눈이오고 비가와도 잘버텨도 결국 지겠지,2개
83,쭈쭈,종강하고 온 사람~,4개
84,sylvanny,Sojisub's dating news brought me here...😆💕,0개
85,루롱,슬플때 더 슬픈 노래 .... 우리 모두 꽃송이,0개
86,아몰랑,2배속 인거 모르고 있었는데 장범준 목소리 나오고 나서야 알음 ;; 인트로 왤케 자연스러운겨 ㅈㄴ 흥겹,0개
