,youtube_id,comment,like_num
114,,앞으로 한 10년간은 봄마다 차트에 뜰듯... 매년 안질리고 너무 설렌다,0개
115,zicoislab,congrats on being the top 1 on melon song of the decade!!!!!,3개
116,Ilikepig,작년 3월봄에 아빠랑 언덕위에있는 커더란 공원에있는 벛꽃나무 가로수길에서 같이손잡고 드론날리면서 논적이있는데 이때생각하니깐 뭔가 마음속 알수없는 어디선가에서 아련함이 오는거같네요 암튼 겨울이 빨리지나고 다시봄이왔으면..,3개
117,정원혁,"이 때 장범준 : 와 노래 ㅈㄴ 잘부르네
얼마 전 장범준 : 샴푸냄새 딱좋다
현 장범준 : 실버빵테온~~

모야 왜 배댓이야",17개
118,비싼싸구려커피,바이러스 휘날리며~  신천지 사람들이 이 거리를 난장판으로 만들어요~,11개
119,Takata나키시,"Finally! Yeah finally, I've found this song with so much hard work.",0개
120,cjmyt,i really had a hard time finding this song. 😅 finally i found it. i love it. ♥️♥️♥️,0개
121,Jameskim,"아뭐야 장범준이 벚꽃엔딩 작곡한거였어,,,인생 19년 살면서 이걸 모르고있었네..어쩐지 목소리 어디서 들어본거같다 싶더니",7개
122,EmmaNawa,"First heard this song in run BTS and I've been trying to find it. Finally!!!😍.. 
It has a beautiful vibe to it♥️",1개
123,TuhfahNurdin,Finally!i found you😭😭,1개
124,RodrigoLacerda,Eu amei essa música 😍😍😍 made in Brasil🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0개
125,HootowlAriana,Came here from Puuung's video :3,0개
126,lizard,아니 근데 무서운게 이노래가 안질려요. 미친.. 진짜 무서운노래야,213개
127,Seuko2,Heard this from spotify lovely song :3,0개
128,PaulArtZion,I want a comeback from them.,8개
129,엑스엘리,올 해 벚꽃놀이는 이거다,5개
130,GianElorde,I feel in love with song and the singer because of Return of superman. 😍 He is such a good husband and dad. Congrats on being #1 on melon top 100 song of the decade 🎉,4개
131,MinJeong,에휴 한국에 방탄 모르는 사람은 있어도 봄에 이노래 못들어본 사람은 없을건데 댓글창 꼬라지봐,314개
132,번개맨과반페르시,장범준도 좋지만 이 버스커버스커 만의 밴드스러움이 너무 좋다,4개
133,N,I am feeling old. 😢,0개
134,Kani3,I love the guitar in this song,1개
135,KhinKyawtShin,"I love it.Just 6 days before EXO song released , before I love exo, I love this band first.i miss them.",0개
136,HannahL,"2days1night S3 used to love this song. 
Remember the member forever🌹",0개
137,kimy17,It s that time of the year again,4개
138,clapeyon,"진짜 악마의 곡이다 ㄷㄷㄷ 
이렇게 봄에 어울리는 노래가 또있을까
그리고 매년 또 다시들어도 또 설레여",587개
139,FarahAbdullah,"Idk where in the world I heard this song, am not korean, and I dont live in korea, but I think I might have heard it in a kdrama or bts singing it in vlive?? How in the world did I know its called the spring song?? I dont know that either, but I love it, and I kept awkwardly singing to shazam in hopes that I would find it... it didnt work.",4개
140,박현용,"지금은 흩날리는 코로나 바이러스~~~~~
.....하하하하.....하...흠...시바...ㅜㅡㅠ",1개
141,기호빈,진짜 오래됬다 이 노래ㅋ내가 2학년때 첨 들었던건데ㅋ,1개
142,ShrutiMishra,I don't know why but this song really brings me peace ....,4개
143,마돈9,와 날풀리니까 추천영상에 귀신같이 올라오네ㄷㄷ,699개
144,AkiiDoll,This song IS SO GOOOOOODDDD,0개
145,HuangRenjun,LMAO I THOUGHT THEY WENT THERE CUZ OF THE GIRL TURNS OUT ITS BECAUSE OF THE TREEEEE,0개
146,KimLang,I try to find this song like crazy after hearing Byul ( Haha wife) singing just a line of this song with yonghwa and no wonder this song has been released for 8 years but still amazing.,1개
147,LuthfiaKeyshaH,Finally! I've search this song for 2 days omgg,0개
148,namgiseokook,"i just looked this up after they kept mentioning it in Fools, i was curious and it’s good !!",1개
149,NurohSalimah,"Even though it's an old song, for some reason I really like it🥺🥰",0개
150,ChaehyeonShin,자아... 몇달만 있으면 또 길거리에 이노래가...,12개
151,VinainSeoul서울사는비나,I can't believe I've never seen the music video for this song lol the ending 😂👌🏼,6개
152,josh,Fools brought me here,0개
153,정유진,2021 출첵,0개
154,SpressLovesWonderGirls,It's 2020... and this will forever be a beautiful spring song. 🌸 🌸 🌸,6개
155,SunnyShine,Finally I found this song! 😭💚,0개
156,임정현,이젠 알고리즘이 알려준다... '그 계절'이 왔다고...,3개
157,현민,외국인들 여기서도 bts ㅇㅈㄹ하고 있네,349개
158,luciagutierrez,Nice song😍❤👏,1개
159,bkyuni,I wish i can visit korea..This days too chaotic,0개
160,ShimranLaikhuram,I really love this song even I don't know the meaning,0개
161,OmarHassan,Every time i lesson to this song i feel Happiness 🙂❤️,4개
162,ahmadarkan,I'm watching this vidio cz j hope singing this song,0개
163,mole,This is my crush's favorite song😀😀 that's unbelievable;)),1개
164,김민주,이노래가 다시 듣고싶네 예전엔 꽃구면 다니면서 이노래 많이 들었는데....코로나 ......시발.....,4개
165,DoctorMonkey,Never gets old,5개
166,복붙기자또영석,이 노래가 그 봄만 되면 대한민국 음악차트를 역주행 해서 1등찍은후 국민들을 당황스럽게 한다는 그 전설의 음악차드 작살내는 벛꽃엔딩 인가요????,890개
167,전혭잉,1:21,1개
168,캡스,"옆동네는 죽었지만 그래도 둘이서 버텨보자.




옆...동..네는...죽..지않..았...다..",1개
169,JaneSailo,Feeling nostalgic listening to this song again❤💮🌸,8개
170,오승현,내년 봄에는 행복했으면 좋겠다.,8개
171,YanisaPhattharawat,"I thought the drummer was Dave from 'World of Dave' but he's actually Brad Moore, an English teacher who made this awesome band with two of his students in Korea. What a story!",10개
172,에이치제이,앞으로 20년은 최고의 봄노래 ㅇㅈ? ㅇㅇ ㅇㅈ,3개
173,영찬,외국인들 어차피 노래 의미 알지도 못하는데 뭔 들으러 오는것도 아니고 다른 아이돌 전파하러 오네 돌았나;,121개
174,markcerezo,Spring time,4개
175,Keichan,2020 and I love so much this song ❤️,6개
176,JyuVioleGrace,I somewhat hear this song in one of the episodes of RM. I like it.,10개
177,고재원,곧 있으면 울려퍼질 노래 성지순례하러 왔습니다,341개
178,피잼유튜브,이 노래 듣고 있는 사람들이 행복하길,2개
179,KatrinaKim,I come here after reading Yumi Cell hehe,0개
180,RubyOrnelas,Spring time is here 🌸 🌺 🌹,0개
181,RobertGarcia,이 노래는 우리 50대되면 성인가요라면서 티비에서 나오겟지,110개
182,지나가는사람,2021년 출석체크 시작한다,2개
183,damarisaguilar,Yo vine del run de bts ❤👌💫,0개
184,Apple,Congratulations 🥳,3개
185,강성주,0:45 버스커 버스커인데 버스 그리 크진 않네..,61개
186,NurHusninaShazman,"I thought I never listened them but actually i listen to this song so often woww, idk them but i know this song",1개
187,softieshushu,a forever iconic bop 🌈✨❤️,0개
188,JiaYingXie,Will always coming back here for the spring 🌸🌸,5개
189,김상증,이게8년 전 노래라고? 유행따윈 없는 노래네,16개
190,윤지성워너원,6년전 노래인데 진짜 세련됨ㄷㄷ,840개
191,사랑해요입분,저......7고살 1시간이이거해주새요♥♥♥,1개
192,urcrush,"그대여 그대여 그대여 그대여 그대여

오늘은 우리 같이 걸어요 이 거리를
밤에 들려오는 자장노래 어떤가요 오예
몰랐던 그대와 단 둘이 손 잡고
알 수 없는 이 떨림과 둘이 걸어요

봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
둘이 걸어요

봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
둘이 걸어요

오예

그대여 우리 이제 손 잡아요 이 거리에
마침 들려오는 사랑 노래 어떤가요 오예
사랑하는 그대와 단 둘이 손잡고
알 수 없는 이 거리를 둘이 걸어요

봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
둘이 걸어요

봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
둘이 걸어요

바람 불면 울렁이는 기분 탓에 나도 모르게
바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐
오 또 울렁이는 기분 탓에 나도 모르게
바람 불면 저편에서 그대여 니 모습이 자꾸 겹쳐

사랑하는 연인들이 많군요 알 수 없는 친구들이 많아요
흩날리는 벚꽃 잎이 많군요 좋아요

봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
둘이 걸어요

봄바람 휘날리며
흩날리는 벚꽃 잎이
울려 퍼질 이 거리를
둘이 걸어요

오예

그대여 그대여 그대여 그대여 그대여",72개
193,드밥쇼,2020년에 보고있는 사람 손!!!,1개
194,옹브이로그TV,"NOW:이것이 가수다
PAST:홀리쇗
FUTURE:제 2의 벚꽃엔딩 ㄱㅈㅇ",1개
195,루주주앙TV,설마 2018년도도 스물스물 올라오는건가...,11개
196,하얀보라,어쩜 이렇게 봄의 벚꽃을 잘 표현했을까,12개
197,DerekAnderson,0:23 이제는 불법이 되어버림,1개
198,HafizHassan,This song was in top 10 this year,1개
199,MelG,memories with my ex. haha,0개
200,현성,썸네일보고 가운데 분 미국에서온 데이브인줄,20개
201,MrnneThea,I was here because of Jhope from BTS ;),0개
202,CahyaMaulana,Whos here in november 2020?,0개
203,einnovyx,i came from reading fools webtoon lol,1개
204,ChimayMzhTxRLuUW,Legendary all the way 💚♥️💚,0개
