,youtube_id,comment,like_num,processed_comment
251,이성진,"배드민턴 치자고 꼬셔 
커피 한 잔 하자고 불러 
동네 한 번 걷자고 꼬셔 
넌 한 번도 그래 안 된다는 말이 없었지 

꽃송이가 꽃송이가 그래 그래 피었네 
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나 

거리에 사람들 수많은 사람들 그 길에 사람들 
그래 나는 네게 얼마만큼 특별한 건지 
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야 

맛있는 거 먹자고 꼬셔 
영화 보러 가자고 불러 
단대 호수 걷자고 꼬셔 
넌 한 번도 그래 안 된다는 말이 없었지 

꽃송이가 꽃송이가 그래 그래 피었네 
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나 

거리에 사람들 수많은 사람들 그 길에 사람들 
그래 나는 네게 얼마만큼 특별한 건지 
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야 
좋아 좋아 하모니카 솔로 

꽃송이가 꽃송이가 꽃송이가 그래 그래 피었네 
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나 

거리에 사람들 수많은 사람들 그 길에 사람들 
그래 나는 네게 얼마만큼 특별한 건지 
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야",48개,"['배드민턴', '치자', '꼬셔', '커피', '하다', '잔', '하자', '불다', '동네', '하다', '번', '걷다', '꼬셔', '넌', '하다', '번', '그렇다', '안', '되다', '말', '없다', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다', '맛있다', '거', '먹다', '꼬셔', '영화', '보다', '가다', '불다', '단대', '호수', '걷다', '꼬셔', '넌', '하다', '번', '그렇다', '안', '되다', '말', '없다', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다', '좋다', '좋다', '하모니카', '솔로', '꽃송이', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다']"
252,빠놀이하면잡아가는왕지네,아왜 눈물나는디,0개,"['왜', '눈물나다']"
253,한다안녕,저여,0개,['저']
254,야스오,역시 버스커버스커 목소리 갑,0개,"['역시', '버스커버스커', '목소리', '갑']"
255,이준우,조아조아 하모니카 솔로!,0개,"['좋다', '좋다', '하모니카', '솔로']"
256,dfshehdbdbd,"내사촌동생 고1때까지 패싸움, 오토바이, 담배, 삥뜯기, 숙모 비상금 훔치기 등 삼촌도 포기한 문제아에 꼴통이었는데
이노래 듣고 단대호수가 보고싶어서
고2때부터 각성하고

결국 정시로 단대가더라ㅋㅋㅋㅋ",19개,"['사촌동생', '고', '때', '패싸움', '오토바이', '담배', '삥', '뜯다', '숙모', '비상', '금', '훔치다', '등', '삼촌', '포기', '제아', '꼴통', '이다', '이노', '듣다', '대호수', '보다', '고', '때', '각성', '정시', '단대', '가다']"
257,응아니야,으아 알람소리다!,0개,"['알람', '소리']"
258,NTT,밤꽃냄새가~(밤꽃은 이것과 냄새가 비슷해요 바로 정ㅇ...),0개,"['밤꽃', '냄새', '밤꽃', '것', '냄새', '비슷하다', '바로', '정']"
259,BellaKang,"♬ 
1년전에 두들겨 놓고 ,,, 또
,,, 아주머니 공유 좀 할께요 ^^",0개,"['두', '겨', '놓다', '또', '아주머니', '공유', '좀', '하다']"
260,KJS,"배드민턴 치자고 꼬셔
커피 한 잔 하자고 불러
동네 한 번 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야

맛있는 거 먹자고 꼬셔
영화 보러 가자고 불러
단대 호수 걷자고 꼬셔
넌 한 번도 그래 안 된다는 말이 없었지

꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야
좋아 좋아 하모니카 솔로

꽃송이가 꽃송이가 꽃송이가 그래 그래 피었네
꽃송이가 꽃송이가 그 꽃 한 송이가 그래 그래 피었구나

거리에 사람들 수많은 사람들 그 길에 사람들
그래 나는 네게 얼마만큼 특별한 건지
그게 어려운 거야 그게 어려운 거라 그게 어려운 거야",12개,"['배드민턴', '치자', '꼬셔', '커피', '하다', '잔', '하자', '불다', '동네', '하다', '번', '걷다', '꼬셔', '넌', '하다', '번', '그렇다', '안', '되다', '말', '없다', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다', '맛있다', '거', '먹다', '꼬셔', '영화', '보다', '가다', '불다', '단대', '호수', '걷다', '꼬셔', '넌', '하다', '번', '그렇다', '안', '되다', '말', '없다', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다', '좋다', '좋다', '하모니카', '솔로', '꽃송이', '꽃송이', '꽃송이', '그렇다', '그렇다', '피다', '꽃송이', '꽃송이', '그', '꽃', '하다', '송이', '그렇다', '그렇다', '피다', '거리', '사람', '수많다', '사람', '그', '길', '사람', '그렇다', '나', '네', '얼마만큼', '특별하다', '건지다', '그게', '어렵다', '그게', '어렵다', '거', '그게', '어렵다']"
