,melon_id,댓글,processed_comment
493,예--r,봄이 왔구나.....,"['봄', '오다']"
494,HuUuU,빨리 벚꽃 폈음좋겠지만 벚꽃피면 항상 시험코앞 기간 .....,"['벚꽃', '피다', '좋다', '벚꽃', '피', '항상', '시험', '코앞', '기간']"
495,foreverone12,벗꽃엔딩 네버 엔딩,"['벗꽃', '엔딩', '네버', '엔딩']"
496,MuS1C,장봄준,['장봄준']
497,포스트맬론,아 장범준 봄민요 또 거리에 주구장창 나오겠네,"['장범준', '봄', '민요', '또', '거리', '장창', '나오다']"
498,난포90,치고 올라가는거 보고 싶은데 갑자기 비가 오네,"['올라가다', '보고', '싶다', '갑자기', '비', '오다']"
499,고말년병장,벚태식이 돌아왔구나,"['벚태식', '돌아오다']"
500,cjdaud456,너무좋다,['좋다']
501,Carpe_diem__,올해도 어김없이 리스트에 추가♥,"['올해', '리스트', '추가']"
502,송순란여사님,봄되면 듣고싶어지는 ㅎㅎ,"['보다', '면', '듣다']"
503,민경훈,봄이 오는구만,"['봄', '오다']"
504,어머나이게이뭐람,크 역시 벚꽃좀비,"['크다', '역시', '벚꽃', '좀비']"
505,찐따사용하고있는놈누구야,조타ㅎ,['타']
506,즈모니jay,슬슬..,['슬슬']
507,김정욱,벌써 31위네 무섭다ㄷㄷ,"['벌써', '위', '무섭다']"
508,탈퇴한 회원,슬그머니올라온다1위가즈아,"['슬그머니', '올라오다', '위가즈']"
509,Sec__,진짜 이런 분위기 이런 멜로디를 가진 노래가 나온게 신기하다.. 봄과 어쩜 이리 잘맞는지,"['진짜', '이렇다', '분위기', '이렇다', '멜로디', '가지다', '노래', '나오다', '신기하다', '봄', '어쩜', '잘맞다']"
510,Enifyy,올해도 차트에!,"['올해', '차트']"
511,Like우찌,벚꽃연금,"['벚꽃', '연금']"
512,나욘짱아,벜벜은.. 지금 웃고있다,"['벜벜', '지금', '웃다']"
513,감귤띵띵,차트 34위네요! 벚꽃 보러 가자아,"['차트', '위', '벚꽃', '보다', '가다']"
514,L아이리스L,이노래만큼 봄에 잘 어울리는 노래가 없는듯,"['노래', '봄', '자다', '어울리다', '노래', '없다']"
515,acoustic_,드디어 돌아왔다 벚꽃좀비의 계절,"['돌아오다', '벚꽃', '좀비', '계절']"
516,분홍빛보라구름,예뻐 ㅎㅎ,['예쁘다']
517,이래도그냥지나갈꼬야,와 진짜 대단하다 ㄷㄷㄷ,"['오다', '진짜', '대단하다']"
518,와땅땅땅,그래도 봄에는 이만한게 없죠,"['봄', '게', '없다']"
519,잡덕_R,"순위 오르는거 엄청 신기하네요ㅋㅋㅋ
더 올라가자!!","['순위', '오르다', '신기하다', '더', '올라가다']"
520,Meaning-,영 차,"['영', '차']"
521,탈퇴한 회원,신기해신기해,"['신기하다', '신기하다']"
522,꾸버만두,부산은 만개했어요 이 노래 들으며 벚꽃터널 걸으면 행복❣,"['부산', '개', '하다', '이', '노래', '들다', '벚꽃', '터널', '걸다', '행복']"
523,malu728,밑에지방은 벌써 다 만개,"['밑', '지방', '벌써', '개']"
524,Lilstein,좀비 엔딩 또 차트인 했네 대박이다,"['좀비', '엔딩', '또', '차트', '하다', '대박']"
525,홍민호,슬슬 온다,"['슬슬', '오다']"
526,박_새로이_,울산인데 너무 이쁘게 피었어요~~,"['울산', '이쁘다', '피다']"
527,매지컬_빠따_소유자,온다...꽉 잡아라....온다..,"['오다', '꽉', '잡다', '오다']"
528,starry.starry,"오늘 유희열의 스케치북 방송 이후
순위 급상승 예상","['오늘', '유희열', '스케치북', '방송', '이후', '순위', '급상승', '예상']"
529,다흰이.,봄되면 생각나는 좀비곡,"['보다', '면', '생각나다', '좀비', '곡']"
530,pwerou,와 32위 소름돋는다,"['오다', '위', '소름', '돋다']"
531,이이이메렁,매년 이맘때쯤 듣는데 왜 안질리는건데 ㅋㅋㅋㅋㅋㅋㅋ,"['매년', '쯤', '듣다', '왜', '안질리다']"
532,ghchoi0190,벚태식이 돌아왔구나,"['벚태식', '돌아오다']"
533,현디루,"장범준 당신은 대체,,,
곡을 만든 건지 좀비를 만든 건지,,,,","['장범준', '당신', '대체', '곡', '만들다', '건지다', '좀비', '만들다', '건지다']"
534,thgink9,이상하네...이 노래 최고 순위가 7위였다니... 그럴리가... 1위일줄 알았는데...,"['이상하다', '이', '노래', '최고', '순위', '위', '이다', '그렇다', '리가', '위', '이다', '알다']"
535,필끼냠,역시 벚꽃좀비...,"['역시', '벚꽃', '좀비']"
